outer_heldout_study,selected_rule,n_train_tasks,n_test_tasks
Cui_direct41,one_sided_s1.00,5748,2448
Frangieh,one_sided_s1.00,4848,3348
Lara_exvivo,one_sided_s1.00,6816,1380
Santinha,one_sided_s1.00,7176,1020
