outer_heldout_study,selected_rule,delta_utility_20_vs_magnitude
Cui_direct41,one_sided_s1.00,0.04391704938541613
Frangieh,one_sided_s1.00,0.02632493897310434
Lara_exvivo,one_sided_s1.00,0.029931191202357488
Santinha,one_sided_s1.00,-0.008746170921882346
