inner_heldout_study,spearman,utility_20,capture_20,remaining_error_80,rule,outer_heldout_study
Frangieh,0.5427104792733984,0.4824332316233164,0.22771906301833145,0.04159098578026297,magnitude,Cui_direct41
Frangieh,0.5473384420482968,0.48788967745852285,0.2280601512309206,0.04157399955475758,fixed_80m_20s,Cui_direct41
Frangieh,0.5459112260094118,0.4840593815490981,0.2278014207655271,0.04158693266770536,one_sided_s0.25,Cui_direct41
Frangieh,0.5488195682110352,0.49427892232684006,0.22846638907064307,0.04155306072813476,one_sided_s0.50,Cui_direct41
Frangieh,0.5508696398935645,0.5014019136522102,0.22890101234800897,0.04153050000301505,one_sided_s0.75,Cui_direct41
Frangieh,0.5536311070268871,0.5087581705964207,0.22925523818496116,0.041512947756474565,one_sided_s1.00,Cui_direct41
Frangieh,0.5503868610062962,0.499067836468797,0.22869598627263632,0.04154163881364676,scenario_a,Cui_direct41
Frangieh,0.5483050439732983,0.49098727222268285,0.22822448921961191,0.04156633106664472,scenario_b,Cui_direct41
Frangieh,0.5518326310932554,0.4992061829152055,0.2287207385692905,0.04154061907152518,scenario_c,Cui_direct41
Frangieh,0.5518398643572547,0.49875044422323683,0.22870276517560198,0.041541813590560694,scenario_d,Cui_direct41
Frangieh,0.544384011554142,0.49410180905971757,0.2284387270134689,0.041554321691717876,anchored_evidence,Cui_direct41
Lara_exvivo,0.23920452787675422,0.25374622306295996,0.2501151906160081,0.07290630950907298,magnitude,Cui_direct41
Lara_exvivo,0.24940307835717562,0.25293790840628605,0.2501153958187203,0.07290469122108298,fixed_80m_20s,Cui_direct41
Lara_exvivo,0.24675248071999537,0.25374622306295996,0.2501151906160081,0.07290630950907298,one_sided_s0.25,Cui_direct41
Lara_exvivo,0.2698915087424111,0.25775441066822813,0.2501745049875859,0.07293556943617588,one_sided_s0.50,Cui_direct41
Lara_exvivo,0.29175134151958154,0.2617582814808493,0.2502837449604832,0.0729385118285498,one_sided_s0.75,Cui_direct41
Lara_exvivo,0.3121408942129903,0.28367741426531745,0.25274420231508316,0.0726841098021235,one_sided_s1.00,Cui_direct41
Lara_exvivo,0.24792386166108704,0.25370330111014483,0.25011115419085456,0.0729064758048826,scenario_a,Cui_direct41
Lara_exvivo,0.26652511263582845,0.2616178591022703,0.2506418695592635,0.07287655257962825,scenario_b,Cui_direct41
Lara_exvivo,0.24398375551287615,0.2652690964268801,0.2510753822392589,0.072822634023948,scenario_c,Cui_direct41
Lara_exvivo,0.26419111035359805,0.27324259074542556,0.2516107495802572,0.07279205652706311,scenario_d,Cui_direct41
Lara_exvivo,0.29821576105389147,0.2721876487739908,0.25131960999153014,0.07282360288061081,anchored_evidence,Cui_direct41
Santinha,0.35999557717823977,0.4081830334018205,0.24421550504282558,0.0449118940099063,magnitude,Cui_direct41
Santinha,0.3543204011822777,0.4103760627153651,0.24444549041243696,0.044898616960308016,fixed_80m_20s,Cui_direct41
Santinha,0.35874716260379574,0.4081830334018205,0.24421550504282558,0.0449118940099063,one_sided_s0.25,Cui_direct41
Santinha,0.3527234965305994,0.4107329573700504,0.24452835627891106,0.04489384791893944,one_sided_s0.50,Cui_direct41
Santinha,0.3392565107907308,0.4121750405155157,0.2451368866431476,0.04484454212378701,one_sided_s0.75,Cui_direct41
Santinha,0.315974727146176,0.39943686247993815,0.24551936422668272,0.04482311596421471,one_sided_s1.00,Cui_direct41
Santinha,0.34839241757106637,0.409563584404082,0.24444545608504145,0.0448974384852487,scenario_a,Cui_direct41
Santinha,0.3550286588899608,0.4107329573700504,0.24452835627891106,0.04489384791893944,scenario_b,Cui_direct41
Santinha,0.34316103460377656,0.3959650507588185,0.24295783979236646,0.044977960189463484,scenario_c,Cui_direct41
Santinha,0.34328676023000043,0.3959650507588185,0.24295783979236646,0.044977960189463484,scenario_d,Cui_direct41
Santinha,0.33606639389846943,0.41214158592431166,0.24473591606825992,0.04487758282457467,anchored_evidence,Cui_direct41
Cui_direct41,0.4093202223486827,0.3517004461603553,0.24050899314298668,0.11022356561070092,magnitude,Frangieh
Cui_direct41,0.41200522585437743,0.3599712196889269,0.24110872342818687,0.11013728751425622,fixed_80m_20s,Frangieh
Cui_direct41,0.41350014953978026,0.3550167975286395,0.24073449081772114,0.11018775332943985,one_sided_s0.25,Frangieh
Cui_direct41,0.41530588720135214,0.3681715766813385,0.24141799110225778,0.1100944806380938,one_sided_s0.50,Frangieh
Cui_direct41,0.42254325585596586,0.3785576209441908,0.2421638732815059,0.1099795405528738,one_sided_s0.75,Frangieh
Cui_direct41,0.4246493934756012,0.3956174955457714,0.24253532929958835,0.10993469606907803,one_sided_s1.00,Frangieh
Cui_direct41,0.4149336198859981,0.35794772079566634,0.24120127837928,0.11012069358285936,scenario_a,Frangieh
Cui_direct41,0.4209732819579335,0.3693118863817551,0.24144846214473795,0.11008984381743425,scenario_b,Frangieh
Cui_direct41,0.41767023853769586,0.37016012942083326,0.2415887796271068,0.11007099144124977,scenario_c,Frangieh
Cui_direct41,0.42476976998873806,0.3795378626830727,0.241848424751863,0.11003705200407293,scenario_d,Frangieh
Cui_direct41,0.4118566794246781,0.37141429835676326,0.24145695113104745,0.11009324161665777,anchored_evidence,Frangieh
Lara_exvivo,0.23920452787675422,0.25374622306295996,0.2501151906160081,0.07290630950907298,magnitude,Frangieh
Lara_exvivo,0.24940307835717562,0.25293790840628605,0.2501153958187203,0.07290469122108298,fixed_80m_20s,Frangieh
Lara_exvivo,0.24675248071999537,0.25374622306295996,0.2501151906160081,0.07290630950907298,one_sided_s0.25,Frangieh
Lara_exvivo,0.2698915087424111,0.25775441066822813,0.2501745049875859,0.07293556943617588,one_sided_s0.50,Frangieh
Lara_exvivo,0.29175134151958154,0.2617582814808493,0.2502837449604832,0.0729385118285498,one_sided_s0.75,Frangieh
Lara_exvivo,0.3121408942129903,0.28367741426531745,0.25274420231508316,0.0726841098021235,one_sided_s1.00,Frangieh
Lara_exvivo,0.24792386166108704,0.25370330111014483,0.25011115419085456,0.0729064758048826,scenario_a,Frangieh
Lara_exvivo,0.26652511263582845,0.2616178591022703,0.2506418695592635,0.07287655257962825,scenario_b,Frangieh
Lara_exvivo,0.24398375551287615,0.2652690964268801,0.2510753822392589,0.072822634023948,scenario_c,Frangieh
Lara_exvivo,0.26419111035359805,0.27324259074542556,0.2516107495802572,0.07279205652706311,scenario_d,Frangieh
Lara_exvivo,0.29821576105389147,0.2721876487739908,0.25131960999153014,0.07282360288061081,anchored_evidence,Frangieh
Santinha,0.35999557717823977,0.4081830334018205,0.24421550504282558,0.0449118940099063,magnitude,Frangieh
Santinha,0.3543204011822777,0.4103760627153651,0.24444549041243696,0.044898616960308016,fixed_80m_20s,Frangieh
Santinha,0.35874716260379574,0.4081830334018205,0.24421550504282558,0.0449118940099063,one_sided_s0.25,Frangieh
