draw,endpoint,delta_MH_vs_M
0,absolute_error,-0.07772165706713725
0,excess_error,0.08084588866229715
1,absolute_error,-0.052731546871654114
1,excess_error,0.07459163734559407
2,absolute_error,-0.020301294067918918
2,excess_error,0.08588810784488073
3,absolute_error,-0.04803727145118677
3,excess_error,0.060316762259843636
4,absolute_error,0.16925536491428775
4,excess_error,0.10531131401288059
5,absolute_error,-0.036278304833359275
5,excess_error,0.09190568834939097
6,absolute_error,0.00555536584750298
6,excess_error,-0.0050897306132280384
7,absolute_error,0.079870637921193
7,excess_error,0.07424300379986815
8,absolute_error,0.0
8,excess_error,0.0
9,absolute_error,-0.04830981786085682
9,excess_error,0.09024898792350407
10,absolute_error,0.05961724909590997
10,excess_error,0.029516108240874563
11,absolute_error,0.0
11,excess_error,0.0
12,absolute_error,0.05004377072622366
12,excess_error,0.005732529958958487
13,absolute_error,-0.10229143052016232
13,excess_error,0.13784434976337767
14,absolute_error,-0.12007658409437927
14,excess_error,-0.02351098139985658
15,absolute_error,0.0
15,excess_error,0.0
16,absolute_error,-0.049354019860537245
16,excess_error,0.011331324795651087
17,absolute_error,0.1189548376089586
17,excess_error,0.07391369683344769
18,absolute_error,0.03927738587782337
18,excess_error,0.04409981998164873
19,absolute_error,0.0
19,excess_error,0.0
20,absolute_error,0.047460312803181505
20,excess_error,0.03731395128464187
21,absolute_error,0.08626366772146588
21,excess_error,0.04932220371330699
22,absolute_error,0.0
22,excess_error,0.0
23,absolute_error,0.003711885781569091
23,excess_error,0.2041045253170914
24,absolute_error,0.0
24,excess_error,0.0
25,absolute_error,-0.11957163436704832
25,excess_error,0.202598620841803
26,absolute_error,0.0
26,excess_error,0.0
27,absolute_error,-0.012289485207018535
27,excess_error,0.059184454431685005
28,absolute_error,0.0
28,excess_error,0.0
29,absolute_error,0.008368843337626442
29,excess_error,0.07627311556050352
30,absolute_error,0.053323035933898734
30,excess_error,0.13460252999873415
31,absolute_error,-0.013894992731383993
31,excess_error,0.08095660892356016
32,absolute_error,0.0
32,excess_error,0.0
33,absolute_error,-0.049709335446836776
33,excess_error,-0.008902472046844467
34,absolute_error,-0.0010531506877068607
34,excess_error,-0.025836266299112464
35,absolute_error,0.0
35,excess_error,0.0
36,absolute_error,-0.024981121403636154
36,excess_error,0.025672126929080497
37,absolute_error,-0.06233748862990891
37,excess_error,-0.00910988013188776
38,absolute_error,-0.001675390739467275
38,excess_error,-0.027068583974519354
39,absolute_error,-0.07491854265943547
39,excess_error,-0.02871703710211567
40,absolute_error,-0.055284379629151316
40,excess_error,0.03545654968871228
41,absolute_error,0.09445047571017032
41,excess_error,0.08910984894256355
42,absolute_error,0.0
42,excess_error,0.0
43,absolute_error,0.05296653068140912
43,excess_error,0.04546143254772561
44,absolute_error,-0.11819230587533376
44,excess_error,0.1430916312249449
45,absolute_error,-0.021210318957156814
45,excess_error,0.03823241920417686
46,absolute_error,-0.038762290278235724
46,excess_error,-0.008344550727343992
47,absolute_error,0.0
47,excess_error,0.0
48,absolute_error,-0.05519054692234313
48,excess_error,0.02758632061105539
49,absolute_error,0.0
49,excess_error,0.0
50,absolute_error,-0.022919229121188645
50,excess_error,-0.021659742780739705
51,absolute_error,0.12442906057709464
51,excess_error,0.13017554645002186
52,absolute_error,-0.007742089402517216
52,excess_error,-0.05142922069888014
53,absolute_error,-0.008895613118231149
53,excess_error,0.03490606775478209
54,absolute_error,0.07203513155206873
54,excess_error,0.05124389291444444
55,absolute_error,0.04806645376664731
55,excess_error,0.03757767872587293
56,absolute_error,0.07003341380643043
56,excess_error,0.13829021748178705
57,absolute_error,-0.13613118267591456
57,excess_error,0.007188105994808169
58,absolute_error,-0.08967679026215562
58,excess_error,0.15341347548921025
59,absolute_error,0.11389935382077918
59,excess_error,0.15520951211350575
60,absolute_error,-0.005926945076982793
60,excess_error,0.10078568093403242
61,absolute_error,0.0539417643453153
61,excess_error,0.05339776448707907
62,absolute_error,-0.015855001763367228
62,excess_error,0.015375905472776319
63,absolute_error,0.010102720576217616
63,excess_error,-0.0653138181765893
64,absolute_error,-0.11872017881820304
64,excess_error,0.0757856065723076
65,absolute_error,-0.06393694779271682
65,excess_error,0.25789525396619406
66,absolute_error,-0.0033679038883640544
66,excess_error,0.025762553804363285
67,absolute_error,0.1735596557069521
67,excess_error,0.1871743473022802
68,absolute_error,0.0
68,excess_error,0.0
69,absolute_error,0.052525534864391224
69,excess_error,0.0330526299418594
70,absolute_error,0.05802711423016897
70,excess_error,0.08002998732423652
71,absolute_error,0.046385937649199536
71,excess_error,0.10814465042655012
72,absolute_error,-0.10503647816843238
72,excess_error,-0.08734009991460201
73,absolute_error,0.0006228306598861699
73,excess_error,-0.056916474091137294
74,absolute_error,-0.0038194476308664794
74,excess_error,0.02003143250074473
75,absolute_error,0.04172935099571133
75,excess_error,0.041193550566006557
76,absolute_error,0.0
76,excess_error,0.0
77,absolute_error,0.0005146918110253695
77,excess_error,0.14285615264697313
78,absolute_error,-0.0008683400684907471
78,excess_error,-0.029953711111928467
79,absolute_error,-0.05563407730170773
79,excess_error,0.09997456370999802
80,absolute_error,-0.11747774743079901
80,excess_error,0.28423929848950563
81,absolute_error,0.0
81,excess_error,0.0
82,absolute_error,-0.0012874397157806472
82,excess_error,-0.02963203799462786
83,absolute_error,-0.009352506083223355
83,excess_error,0.05679879090436466
84,absolute_error,0.007022723552798521
84,excess_error,-0.008740635066712698
85,absolute_error,-0.040825413060231755
85,excess_error,0.12370439509374824
86,absolute_error,-0.020589481460341497
86,excess_error,0.24740417977906257
87,absolute_error,0.0011014998842616918
87,excess_error,0.10523066130461008
88,absolute_error,0.0002654191982710108
88,excess_error,0.07084942053215093
89,absolute_error,0.009525051297819642
89,excess_error,-0.09445191936144026
90,absolute_error,0.08968950637108675
90,excess_error,0.037595961974589746
91,absolute_error,0.037374100866319426
91,excess_error,-0.030039486288470058
92,absolute_error,-0.003557869285462617
92,excess_error,0.11361952086294817
93,absolute_error,-0.06652447191175746
93,excess_error,-0.039187701988755874
94,absolute_error,0.0
94,excess_error,0.0
95,absolute_error,-0.00138205963284892
95,excess_error,-0.03089772889358352
96,absolute_error,0.13849018200732272
96,excess_error,0.030306896125242143
97,absolute_error,0.05977932137113355
97,excess_error,0.009950120969256359
98,absolute_error,0.0
98,excess_error,0.0
99,absolute_error,0.05458004126437919
99,excess_error,0.08437213191743972
100,absolute_error,-0.0350583556484662
100,excess_error,0.12295304171314585
101,absolute_error,0.0
101,excess_error,0.0
102,absolute_error,-0.06273063990799788
102,excess_error,-0.007452690877502288
103,absolute_error,0.0
103,excess_error,0.0
104,absolute_error,-0.026395078550475803
104,excess_error,-0.02092507019039209
105,absolute_error,0.0
105,excess_error,0.0
106,absolute_error,0.0025698864955944643
106,excess_error,0.11126525662472946
107,absolute_error,-0.07206665740102294
107,excess_error,0.15779188011979253
108,absolute_error,-0.07466533263015813
108,excess_error,-0.013621928924100014
109,absolute_error,-0.08727059373843296
109,excess_error,0.07300553129667046
110,absolute_error,0.20948039742157842
110,excess_error,0.12769801891861307
111,absolute_error,0.0
111,excess_error,0.0
112,absolute_error,0.0
112,excess_error,0.0
113,absolute_error,-0.000959168451211978
113,excess_error,-0.022997030154128694
114,absolute_error,-0.022831957145871495
114,excess_error,0.036746406088306094
115,absolute_error,-0.05135604318057467
115,excess_error,0.08887598926899391
116,absolute_error,-0.021927091221838557
116,excess_error,-0.0037977854976701253
117,absolute_error,0.028268466867003617
117,excess_error,0.09140420104113192
118,absolute_error,0.04724437600897089
118,excess_error,0.1043137254860144
119,absolute_error,-0.019593513387530948
119,excess_error,-0.06048261601900007
120,absolute_error,0.0
120,excess_error,0.0
121,absolute_error,0.0
121,excess_error,0.0
122,absolute_error,-0.02007783811074314
122,excess_error,0.0654815542564244
123,absolute_error,0.013730504483298999
123,excess_error,0.006943163436898647
124,absolute_error,0.18305976550339026
124,excess_error,0.1632960773132467
125,absolute_error,-0.029776290463153554
125,excess_error,-0.01537351603837962
126,absolute_error,0.06778927404428485
126,excess_error,0.04520687456358896
127,absolute_error,-0.08385035158825345
127,excess_error,-0.020807247712230702
128,absolute_error,-0.0007540381822274345
128,excess_error,-0.012201706391070632
129,absolute_error,0.0
129,excess_error,0.0
130,absolute_error,-0.010634172985180901
130,excess_error,0.1420023632626902
131,absolute_error,0.05552834482388935
131,excess_error,0.0333763948860792
132,absolute_error,-0.07898697938700013
132,excess_error,0.08926446974708298
133,absolute_error,0.0
133,excess_error,0.0
134,absolute_error,-0.04931811462023248
134,excess_error,0.06972047153374658
135,absolute_error,-0.003977504005164434
135,excess_error,0.042129292505598916
136,absolute_error,0.04380793096977761
136,excess_error,0.11375743832679915
137,absolute_error,0.0
137,excess_error,0.0
138,absolute_error,-0.02613669565444752
138,excess_error,0.02190656787417593
139,absolute_error,-0.015374966948438162
139,excess_error,0.030868142370761763
140,absolute_error,0.03374369317034419
140,excess_error,0.06159775089459594
141,absolute_error,0.09376444108717194
141,excess_error,0.15122714216528937
142,absolute_error,-0.020520841481841755
142,excess_error,-0.016821637099453102
143,absolute_error,-0.021152580383378704
143,excess_error,0.16339379599293521
144,absolute_error,0.10548754952904829
144,excess_error,0.11578353478511508
145,absolute_error,-0.0021560682677284502
145,excess_error,-0.03247270350140328
146,absolute_error,-0.05977932930697609
146,excess_error,0.12345857271582159
147,absolute_error,0.08333964532190771
147,excess_error,0.043622881550777697
148,absolute_error,-0.058654711566473616
148,excess_error,0.08956695574712706
149,absolute_error,0.06613866460895859
149,excess_error,0.028441018208515467
150,absolute_error,0.1865383718185734
150,excess_error,0.18207092123439567
151,absolute_error,0.0006359027170450615
