fold_id,endpoint,method,n_tasks,utility_20,spearman,model_mean_rmse,no_change_mean_rmse
Lara_exvivo_context_holdout_1_EBMP,absolute_error,M,24,0.5619932326035157,0.48956521739130426,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,absolute_error,D,24,0.5619932326035157,0.45999999999999996,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,absolute_error,H,24,0.3916362228769231,0.48869565217391303,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,absolute_error,G,24,0.3254967281840087,0.5939130434782608,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,absolute_error,M_plus_H,24,0.5619932326035157,0.5083713971014951,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,absolute_error,M_plus_D,24,0.5619932326035157,0.48956521739130426,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,absolute_error,M_plus_G,24,0.5730332705378984,0.5721739130434782,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,excess_error,M,24,-0.7213626982484048,-0.5730434782608694,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,excess_error,D,24,-0.7213626982484048,-0.5547826086956522,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,excess_error,H,24,-0.6443224637756969,-0.49217391304347824,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,excess_error,G,24,-0.3351872079504163,-0.37043478260869556,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,excess_error,M_plus_H,24,-0.7213626982484048,-0.5653403047322016,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,excess_error,M_plus_D,24,-0.7213626982484048,-0.5730434782608694,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_1_EBMP,excess_error,M_plus_G,24,-0.6674359719015857,-0.5756521739130435,0.07567886412812964,0.09964511419519807
Lara_exvivo_context_holdout_2_GMP,absolute_error,M,23,0.9216093164719923,0.6571146245059288,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,absolute_error,D,23,0.9216093164719923,0.6561264822134387,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,absolute_error,H,23,0.7432700280423283,0.25,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,absolute_error,G,23,0.3896594263238044,0.283596837944664,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,absolute_error,M_plus_H,23,0.9216093164719923,0.6380034788298126,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,absolute_error,M_plus_D,23,0.9216093164719923,0.6571146245059288,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,absolute_error,M_plus_G,23,1.0,0.6410903658288291,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,excess_error,M,23,-1.220826493458327,-0.7371541501976284,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,excess_error,D,23,-1.220826493458327,-0.7302371541501976,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,excess_error,H,23,-1.0828496329630026,-0.4723320158102767,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,excess_error,G,23,-0.7227814519548662,-0.44960474308300397,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,excess_error,M_plus_H,23,-1.220826493458327,-0.7368421277577463,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,excess_error,M_plus_D,23,-1.220826493458327,-0.7371541501976284,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_2_GMP,excess_error,M_plus_G,23,-1.0479571835766022,-0.7391103599864415,0.0723004574202119,0.09158628457138679
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,M,23,0.8689362576193161,0.816205533596838,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,D,23,0.8689362576193161,0.8023715415019764,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,H,23,0.8049830473150316,0.6195652173913044,0.12604070491280134,0.1348239328017975
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,G,23,0.5578918011160453,0.2737154150197629,0.12604070491280134,0.1348239328017975
