endpoint,mean_M,mean_M_plus_H,mean_delta_MH_vs_M,positive_folds_MH_vs_M,mean_delta_MH_vs_MD,mean_delta_MH_vs_MG
absolute_error,0.7008974380290386,0.6875726147667233,-0.013324823262315388,0,-0.013324823262315388,-0.029217960873289574
excess_error,-0.7456438043936495,-0.6753977713911953,0.0702460330024542,1,0.0702460330024542,0.005349701290737729
