removed_dataset,kept_datasets,primary,comparator,macro_delta_spearman
Frangieh,Lara_exvivo+Santinha,safeconf_frozen_pair_risk,baseline_predicted_magnitude,0.0788760855512774
Frangieh,Lara_exvivo+Santinha,safeconf_frozen_pair_risk,risk_model_disagreement,0.07924133666844663
Lara_exvivo,Frangieh+Santinha,safeconf_frozen_pair_risk,baseline_predicted_magnitude,0.008301499926484546
Lara_exvivo,Frangieh+Santinha,safeconf_frozen_pair_risk,risk_model_disagreement,0.0531827097406255
Santinha,Frangieh+Lara_exvivo,safeconf_frozen_pair_risk,baseline_predicted_magnitude,0.11532238185785243
Santinha,Frangieh+Lara_exvivo,safeconf_frozen_pair_risk,risk_model_disagreement,0.11779961201993183
