scope,primary,comparator,bootstrap_unit,n_datasets,n_folds,observed_macro_delta_spearman,ci95_low,ci95_high,probability_delta_gt_zero,n_bootstrap
Frangieh,safeconf_frozen_pair_risk,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,1,3,0.04474779623305954,-0.03856200926170996,0.1695161271085118,0.7164,5000
Lara_exvivo,safeconf_frozen_pair_risk,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,1,5,0.18589696748264523,0.01731761323004062,0.37642563924736056,0.9828,5000
Santinha,safeconf_frozen_pair_risk,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,1,5,-0.028144796380090507,-0.15857957380358773,0.13495217385081656,0.375,5000
three_dataset_macro,safeconf_frozen_pair_risk,baseline_predicted_magnitude,fixed_datasets_fold_plus_perturbation,3,13,0.06749998911187143,-0.011549800698278063,0.1573328159801139,0.9546,5000
three_dataset_macro,safeconf_frozen_pair_risk,baseline_predicted_magnitude,dataset_population_plus_fold_plus_perturbation,3,13,0.06749998911187143,-0.05695279606105021,0.21338293603457548,0.8466,5000
Frangieh,safeconf_frozen_pair_risk,risk_model_disagreement,outer_fold_plus_perturbation_cluster,1,3,0.09174098509211064,0.03055400263605562,0.17568285785366466,1.0,5000
Lara_exvivo,safeconf_frozen_pair_risk,risk_model_disagreement,outer_fold_plus_perturbation_cluster,1,5,0.14385823894775301,0.06856430641430158,0.21284458708687032,1.0,5000
Santinha,safeconf_frozen_pair_risk,risk_model_disagreement,outer_fold_plus_perturbation_cluster,1,5,0.014624434389140272,-0.02017671948052329,0.05614664532107272,0.8342,5000
three_dataset_macro,safeconf_frozen_pair_risk,risk_model_disagreement,fixed_datasets_fold_plus_perturbation,3,13,0.08340788614300132,0.047685051857391136,0.12178498403247447,1.0,5000
three_dataset_macro,safeconf_frozen_pair_risk,risk_model_disagreement,dataset_population_plus_fold_plus_perturbation,3,13,0.08340788614300132,0.01651723779566318,0.1507055311453302,0.9968,5000
