dataset,train_fraction,fold_id,score,n_tasks,spearman
Frangieh,0.25,frangieh_context_holdout_1_Co-culture,safeconf_frozen_pair_risk,279,0.42549978450419385
Frangieh,0.25,frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,279,0.5674673164694052
Frangieh,0.25,frangieh_context_holdout_1_Co-culture,risk_model_disagreement,279,0.5334250571892716
Frangieh,0.25,frangieh_context_holdout_2_Control,safeconf_frozen_pair_risk,279,0.7543613035838611
Frangieh,0.25,frangieh_context_holdout_2_Control,baseline_predicted_magnitude,279,0.2728447656621247
Frangieh,0.25,frangieh_context_holdout_2_Control,risk_model_disagreement,279,0.39772016488191936
Frangieh,0.25,frangieh_context_holdout_3_IFNγ,safeconf_frozen_pair_risk,279,0.5353462851838345
Frangieh,0.25,frangieh_context_holdout_3_IFNγ,baseline_predicted_magnitude,279,0.34291239819204544
Frangieh,0.25,frangieh_context_holdout_3_IFNγ,risk_model_disagreement,279,0.39459602824652723
Frangieh,0.5,frangieh_context_holdout_1_Co-culture,safeconf_frozen_pair_risk,279,0.5134624097956657
Frangieh,0.5,frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,279,0.5595702240051277
Frangieh,0.5,frangieh_context_holdout_1_Co-culture,risk_model_disagreement,279,0.5630772801113948
Frangieh,0.5,frangieh_context_holdout_2_Control,safeconf_frozen_pair_risk,279,0.7826763474013416
Frangieh,0.5,frangieh_context_holdout_2_Control,baseline_predicted_magnitude,279,0.4016814198410857
Frangieh,0.5,frangieh_context_holdout_2_Control,risk_model_disagreement,279,0.4574898606460454
Frangieh,0.5,frangieh_context_holdout_3_IFNγ,safeconf_frozen_pair_risk,279,0.6631590580070506
Frangieh,0.5,frangieh_context_holdout_3_IFNγ,baseline_predicted_magnitude,279,0.5606134447280885
Frangieh,0.5,frangieh_context_holdout_3_IFNγ,risk_model_disagreement,279,0.5542927869685819
Frangieh,0.75,frangieh_context_holdout_1_Co-culture,safeconf_frozen_pair_risk,279,0.5149570666047807
Frangieh,0.75,frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,279,0.6323956503000364
Frangieh,0.75,frangieh_context_holdout_1_Co-culture,risk_model_disagreement,279,0.6079600835460665
Frangieh,0.75,frangieh_context_holdout_2_Control,safeconf_frozen_pair_risk,279,0.8169230514206146
Frangieh,0.75,frangieh_context_holdout_2_Control,baseline_predicted_magnitude,279,0.5523627181204346
Frangieh,0.75,frangieh_context_holdout_2_Control,risk_model_disagreement,279,0.5574257644575583
Frangieh,0.75,frangieh_context_holdout_3_IFNγ,safeconf_frozen_pair_risk,279,0.6902800340372863
Frangieh,0.75,frangieh_context_holdout_3_IFNγ,baseline_predicted_magnitude,279,0.6680684945131453
Frangieh,0.75,frangieh_context_holdout_3_IFNγ,risk_model_disagreement,279,0.61351103449038
Frangieh,1.0,frangieh_context_holdout_1_Co-culture,safeconf_frozen_pair_risk,279,0.6034120169302346
Frangieh,1.0,frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,279,0.6287819513974074
Frangieh,1.0,frangieh_context_holdout_1_Co-culture,risk_model_disagreement,279,0.5711578202875488
Frangieh,1.0,frangieh_context_holdout_2_Control,safeconf_frozen_pair_risk,279,0.7372929306324525
Frangieh,1.0,frangieh_context_holdout_2_Control,baseline_predicted_magnitude,279,0.5597785366177105
Frangieh,1.0,frangieh_context_holdout_2_Control,risk_model_disagreement,279,0.5546563670722408
Frangieh,1.0,frangieh_context_holdout_3_IFNγ,safeconf_frozen_pair_risk,279,0.7225264949330857
Frangieh,1.0,frangieh_context_holdout_3_IFNγ,baseline_predicted_magnitude,279,0.7404275657814763
Frangieh,1.0,frangieh_context_holdout_3_IFNγ,risk_model_disagreement,279,0.6621942998596514
Lara_exvivo,0.25,Lara_exvivo_context_holdout_1_EBMP,safeconf_frozen_pair_risk,69,-0.2245158933138473
Lara_exvivo,0.25,Lara_exvivo_context_holdout_1_EBMP,baseline_predicted_magnitude,69,-0.12020460358056269
Lara_exvivo,0.25,Lara_exvivo_context_holdout_1_EBMP,risk_model_disagreement,69,-0.22151991231275117
Lara_exvivo,0.25,Lara_exvivo_context_holdout_2_GMP,safeconf_frozen_pair_risk,69,-0.25052977712824265
Lara_exvivo,0.25,Lara_exvivo_context_holdout_2_GMP,baseline_predicted_magnitude,69,-0.058165875045670445
Lara_exvivo,0.25,Lara_exvivo_context_holdout_2_GMP,risk_model_disagreement,69,-0.18366824990865913
Lara_exvivo,0.25,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_frozen_pair_risk,69,0.5845816587504568
Lara_exvivo,0.25,Lara_exvivo_context_holdout_3_GMP_(late),baseline_predicted_magnitude,69,0.37310924369747905
Lara_exvivo,0.25,Lara_exvivo_context_holdout_3_GMP_(late),risk_model_disagreement,69,0.4823529411764707
Lara_exvivo,0.25,Lara_exvivo_context_holdout_4_HSC,safeconf_frozen_pair_risk,69,0.38081841432225066
Lara_exvivo,0.25,Lara_exvivo_context_holdout_4_HSC,baseline_predicted_magnitude,69,0.12491779320423824
Lara_exvivo,0.25,Lara_exvivo_context_holdout_4_HSC,risk_model_disagreement,69,0.2822433321154549
Lara_exvivo,0.25,Lara_exvivo_context_holdout_5_MkP,safeconf_frozen_pair_risk,69,0.09141479188170791
Lara_exvivo,0.25,Lara_exvivo_context_holdout_5_MkP,baseline_predicted_magnitude,69,-0.13233467299963467
Lara_exvivo,0.25,Lara_exvivo_context_holdout_5_MkP,risk_model_disagreement,69,0.036865180854950684
Lara_exvivo,0.5,Lara_exvivo_context_holdout_1_EBMP,safeconf_frozen_pair_risk,69,-0.2700401899890391
Lara_exvivo,0.5,Lara_exvivo_context_holdout_1_EBMP,baseline_predicted_magnitude,69,-0.17727438801607603
Lara_exvivo,0.5,Lara_exvivo_context_holdout_1_EBMP,risk_model_disagreement,69,-0.3140664961636829
Lara_exvivo,0.5,Lara_exvivo_context_holdout_2_GMP,safeconf_frozen_pair_risk,69,-0.1391304347826087
Lara_exvivo,0.5,Lara_exvivo_context_holdout_2_GMP,baseline_predicted_magnitude,69,-0.34662038728534894
Lara_exvivo,0.5,Lara_exvivo_context_holdout_2_GMP,risk_model_disagreement,69,-0.23916697113628063
Lara_exvivo,0.5,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_frozen_pair_risk,69,0.4474241870661309
Lara_exvivo,0.5,Lara_exvivo_context_holdout_3_GMP_(late),baseline_predicted_magnitude,69,0.39433686518085503
Lara_exvivo,0.5,Lara_exvivo_context_holdout_3_GMP_(late),risk_model_disagreement,69,0.2705516989404458
Lara_exvivo,0.5,Lara_exvivo_context_holdout_4_HSC,safeconf_frozen_pair_risk,69,0.5657289002557545
Lara_exvivo,0.5,Lara_exvivo_context_holdout_4_HSC,baseline_predicted_magnitude,69,0.3335403726708075
Lara_exvivo,0.5,Lara_exvivo_context_holdout_4_HSC,risk_model_disagreement,69,0.4454512239678481
Lara_exvivo,0.5,Lara_exvivo_context_holdout_5_MkP,safeconf_frozen_pair_risk,69,-0.1255754475703325
Lara_exvivo,0.5,Lara_exvivo_context_holdout_5_MkP,baseline_predicted_magnitude,69,0.05922542930215565
Lara_exvivo,0.5,Lara_exvivo_context_holdout_5_MkP,risk_model_disagreement,69,-0.1525027402265254
Lara_exvivo,0.75,Lara_exvivo_context_holdout_1_EBMP,safeconf_frozen_pair_risk,69,-0.07939349652904641
Lara_exvivo,0.75,Lara_exvivo_context_holdout_1_EBMP,baseline_predicted_magnitude,69,-0.03536719035440263
Lara_exvivo,0.75,Lara_exvivo_context_holdout_1_EBMP,risk_model_disagreement,69,-0.11019364267446109
Lara_exvivo,0.75,Lara_exvivo_context_holdout_2_GMP,safeconf_frozen_pair_risk,69,0.1367921081476069
Lara_exvivo,0.75,Lara_exvivo_context_holdout_2_GMP,baseline_predicted_magnitude,69,-0.10328827183047132
Lara_exvivo,0.75,Lara_exvivo_context_holdout_2_GMP,risk_model_disagreement,69,0.022287175739861165
Lara_exvivo,0.75,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_frozen_pair_risk,69,0.37932042382170267
Lara_exvivo,0.75,Lara_exvivo_context_holdout_3_GMP_(late),baseline_predicted_magnitude,69,0.2975886006576544
Lara_exvivo,0.75,Lara_exvivo_context_holdout_3_GMP_(late),risk_model_disagreement,69,0.16642309097552066
Lara_exvivo,0.75,Lara_exvivo_context_holdout_4_HSC,safeconf_frozen_pair_risk,69,0.5697844355133359
Lara_exvivo,0.75,Lara_exvivo_context_holdout_4_HSC,baseline_predicted_magnitude,69,0.12440628425283157
Lara_exvivo,0.75,Lara_exvivo_context_holdout_4_HSC,risk_model_disagreement,69,0.3433686518085496
Lara_exvivo,0.75,Lara_exvivo_context_holdout_5_MkP,safeconf_frozen_pair_risk,69,-0.042893679210814765
Lara_exvivo,0.75,Lara_exvivo_context_holdout_5_MkP,baseline_predicted_magnitude,69,0.007745706978443553
Lara_exvivo,0.75,Lara_exvivo_context_holdout_5_MkP,risk_model_disagreement,69,-0.10149799050054806
Lara_exvivo,1.0,Lara_exvivo_context_holdout_1_EBMP,safeconf_frozen_pair_risk,69,-0.011801242236024847
Lara_exvivo,1.0,Lara_exvivo_context_holdout_1_EBMP,baseline_predicted_magnitude,69,-0.034051881622214106
Lara_exvivo,1.0,Lara_exvivo_context_holdout_1_EBMP,risk_model_disagreement,69,-0.06890756302521009
Lara_exvivo,1.0,Lara_exvivo_context_holdout_2_GMP,safeconf_frozen_pair_risk,69,0.08421629521373768
Lara_exvivo,1.0,Lara_exvivo_context_holdout_2_GMP,baseline_predicted_magnitude,69,-0.22181220314212644
Lara_exvivo,1.0,Lara_exvivo_context_holdout_2_GMP,risk_model_disagreement,69,-0.039532334672999644
Lara_exvivo,1.0,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_frozen_pair_risk,69,0.46982097186700766
Lara_exvivo,1.0,Lara_exvivo_context_holdout_3_GMP_(late),baseline_predicted_magnitude,69,0.28721227621483375
Lara_exvivo,1.0,Lara_exvivo_context_holdout_3_GMP_(late),risk_model_disagreement,69,0.28597004018998906
