fold_id,setting,score,n_tasks,spearman,mean_error,risk_coverage80_improve_pct,accepted_q80_fraction,accepted_q80_mean_error
frangieh_context_holdout_1_Co-culture,context_and_perturbation_unseen,safeconf_calibrated_pair_risk,30,0.0825361512791991,0.0559108189225839,1.2978384324257957,0.0,
frangieh_context_holdout_1_Co-culture,context_and_perturbation_unseen,safeconf_frozen_pair_risk,30,0.02202447163515017,0.0559108189225839,1.5065064541062099,0.0,
frangieh_context_holdout_1_Co-culture,context_and_perturbation_unseen,risk_model_disagreement,30,0.02202447163515017,0.0559108189225839,1.5065064541062099,0.0,
frangieh_context_holdout_1_Co-culture,context_and_perturbation_unseen,baseline_predicted_magnitude,30,0.06785317018909899,0.0559108189225839,1.2978384324257957,0.0,
frangieh_context_holdout_1_Co-culture,context_unseen_row,safeconf_calibrated_pair_risk,159,0.25821292094578463,0.05208264272909758,3.4599610490556154,0.0,
frangieh_context_holdout_1_Co-culture,context_unseen_row,safeconf_frozen_pair_risk,159,0.22809589204681158,0.05208264272909758,3.13582208107266,0.0,
frangieh_context_holdout_1_Co-culture,context_unseen_row,risk_model_disagreement,159,0.2242924528301887,0.05208264272909758,3.3886699620564853,0.0,
frangieh_context_holdout_1_Co-culture,context_unseen_row,baseline_predicted_magnitude,159,0.25013434439933124,0.05208264272909758,3.311475427285616,0.0,
frangieh_context_holdout_1_Co-culture,perturbation_unseen_column,safeconf_calibrated_pair_risk,60,0.05790497360377884,0.05716437862567216,-0.19658322953708235,0.5666666666666667,0.05884242526878641
frangieh_context_holdout_1_Co-culture,perturbation_unseen_column,safeconf_frozen_pair_risk,60,0.048235621005834964,0.05716437862567216,0.2550131195073646,0.5666666666666667,0.05884242526878641
frangieh_context_holdout_1_Co-culture,perturbation_unseen_column,risk_model_disagreement,60,0.048235621005834964,0.05716437862567216,0.2550131195073646,0.5666666666666667,0.05884242526878641
frangieh_context_holdout_1_Co-culture,perturbation_unseen_column,baseline_predicted_magnitude,60,0.016504584606835234,0.05716437862567216,-0.19770390236955446,0.5666666666666667,0.05884242526878641
frangieh_context_holdout_1_Co-culture,random_missing_pair,safeconf_calibrated_pair_risk,30,0.19955506117908786,0.0511795111167859,1.2492281247231005,0.7666666666666667,0.05067468190555396
frangieh_context_holdout_1_Co-culture,random_missing_pair,safeconf_frozen_pair_risk,30,0.207119021134594,0.0511795111167859,1.2492281247231005,0.7666666666666667,0.05067468190555396
frangieh_context_holdout_1_Co-culture,random_missing_pair,risk_model_disagreement,30,0.1581757508342603,0.0511795111167859,1.2492281247231005,0.7666666666666667,0.05067468190555396
frangieh_context_holdout_1_Co-culture,random_missing_pair,baseline_predicted_magnitude,30,0.13726362625139044,0.0511795111167859,1.2492281247231005,0.7666666666666667,0.05067468190555396
frangieh_context_holdout_1_Co-culture,all_test_settings_pooled,safeconf_calibrated_pair_risk,279,0.07218170164329367,0.05349001008117541,3.105660219375625,0.20430107526881722,0.05554666917485051
frangieh_context_holdout_1_Co-culture,all_test_settings_pooled,safeconf_frozen_pair_risk,279,0.08477494502094177,0.05349001008117541,2.6068094813214397,0.20430107526881722,0.05554666917485051
frangieh_context_holdout_1_Co-culture,all_test_settings_pooled,risk_model_disagreement,279,0.08931638099658523,0.05349001008117541,2.367498327237719,0.20430107526881722,0.05554666917485051
frangieh_context_holdout_1_Co-culture,all_test_settings_pooled,baseline_predicted_magnitude,279,0.11016863928212271,0.05349001008117541,2.292654078193128,0.20430107526881722,0.05554666917485051
frangieh_context_holdout_2_Control,context_and_perturbation_unseen,safeconf_calibrated_pair_risk,30,0.056729699666295874,0.05583056094265019,-0.30338982526290675,0.0,
frangieh_context_holdout_2_Control,context_and_perturbation_unseen,safeconf_frozen_pair_risk,30,0.08298109010011123,0.05583056094265019,1.727894508822833,0.0,
frangieh_context_holdout_2_Control,context_and_perturbation_unseen,risk_model_disagreement,30,0.08298109010011123,0.05583056094265019,1.727894508822833,0.0,
