predictor,fold_id,endpoint,H,M,M_plus_H,delta_MH_vs_M
GEARS,frangieh_context_holdout_1_Co-culture,excess_rmse,-0.46031788698070475,0.5658861709057496,0.44363483359593925,-0.1222513373098103
GEARS,frangieh_context_holdout_1_Co-culture,no_change_rmse,0.8747409916374831,0.280498098207034,0.46006215628924674,0.17956405808221276
GEARS,frangieh_context_holdout_1_Co-culture,true_error_rmse,0.7378715734266224,0.5990857141321219,0.7364513568219445,0.13736564268982265
GEARS,frangieh_context_holdout_2_Control,excess_rmse,0.0978381043078896,0.9351947303763578,0.7350582818596357,-0.20013644851672208
GEARS,frangieh_context_holdout_2_Control,no_change_rmse,0.7784378405688813,0.015245462796354484,0.2979411623743336,0.28269569957797913
GEARS,frangieh_context_holdout_2_Control,true_error_rmse,0.8111209557514223,0.4214976151911348,0.6136391949135992,0.19214157972246437
GEARS,frangieh_context_holdout_3_IFNγ,excess_rmse,-0.6025203880574665,0.41137829495717076,0.2790207789177015,-0.13235751603946927
GEARS,frangieh_context_holdout_3_IFNγ,no_change_rmse,0.917080922301207,0.249050853663943,0.4254159557626854,0.17636510209874243
GEARS,frangieh_context_holdout_3_IFNγ,true_error_rmse,0.8462136524796322,0.34220627825517586,0.5017201468388852,0.15951386858370936
scGPT,frangieh_context_holdout_1_Co-culture,excess_rmse,0.07193178914408047,-0.1466432742306603,-0.014428632454247714,0.13221464177641257
scGPT,frangieh_context_holdout_1_Co-culture,no_change_rmse,0.8747409916374831,-0.07798296825362196,0.07743321871079172,0.15541618696441367
scGPT,frangieh_context_holdout_1_Co-culture,true_error_rmse,0.8708630114111058,-0.07998438478580959,0.07674185539852886,0.15672624018433845
scGPT,frangieh_context_holdout_2_Control,excess_rmse,-0.243225604684241,0.12400131144750935,0.08545796412732805,-0.038543347320181304
scGPT,frangieh_context_holdout_2_Control,no_change_rmse,0.7784378405688813,0.01526927578353359,0.1485995449669324,0.1333302691833988
scGPT,frangieh_context_holdout_2_Control,true_error_rmse,0.7735630796581932,0.02104282199343591,0.1536801735320921,0.1326373515386562
scGPT,frangieh_context_holdout_3_IFNγ,excess_rmse,-0.6573550332268633,-0.2699101903383457,-0.4460414209555217,-0.176131230617176
scGPT,frangieh_context_holdout_3_IFNγ,no_change_rmse,0.917080922301207,0.35712568333155215,0.559249605724794,0.20212392239324184
scGPT,frangieh_context_holdout_3_IFNγ,true_error_rmse,0.9171864764685288,0.3568772438262695,0.558374670556196,0.20149742672992654
