predictor,fold_id,endpoint,method,n_tasks,spearman,utility_20,selected_mean_endpoint
GEARS,frangieh_context_holdout_1_Co-culture,true_error_rmse,M,104,0.41613144137415986,0.5990857141321219,0.06845070741006302
GEARS,frangieh_context_holdout_1_Co-culture,true_error_rmse,H,104,0.5476154913048118,0.7378715734266224,0.07135782053782821
GEARS,frangieh_context_holdout_1_Co-culture,true_error_rmse,M_plus_H,104,0.5222800140557843,0.7364513568219445,0.07132807161126814
GEARS,frangieh_context_holdout_1_Co-culture,no_change_rmse,M,104,-0.048255627867278356,0.280498098207034,0.056620678136496815
GEARS,frangieh_context_holdout_1_Co-culture,no_change_rmse,H,104,0.6979622319428145,0.8747409916374831,0.07044823990355321
GEARS,frangieh_context_holdout_1_Co-culture,no_change_rmse,M_plus_H,104,0.10822330696549369,0.46006215628924674,0.06079899163712887
GEARS,frangieh_context_holdout_1_Co-culture,excess_rmse,M,104,0.3475408087058573,0.5658861709057496,0.011830029273566198
GEARS,frangieh_context_holdout_1_Co-culture,excess_rmse,H,104,-0.5151925744158755,-0.46031788698070475,0.0009095806342749987
GEARS,frangieh_context_holdout_1_Co-culture,excess_rmse,M_plus_H,104,0.2193859860480075,0.44363483359593925,0.010529079974139276
GEARS,frangieh_context_holdout_2_Control,true_error_rmse,M,106,0.3801949769503993,0.4214976151911348,0.06713208285245024
GEARS,frangieh_context_holdout_2_Control,true_error_rmse,H,106,0.6483159936519133,0.8111209557514223,0.07271551747213706
GEARS,frangieh_context_holdout_2_Control,true_error_rmse,M_plus_H,106,0.5086116339089306,0.6136391949135992,0.06988553685898126
GEARS,frangieh_context_holdout_2_Control,no_change_rmse,M,106,0.08691336876842079,0.015245462796354484,0.05599830586476098
GEARS,frangieh_context_holdout_2_Control,no_change_rmse,H,106,0.6612741516991207,0.7784378405688813,0.06679688665952409
GEARS,frangieh_context_holdout_2_Control,no_change_rmse,M_plus_H,106,0.24021886174486282,0.2979411623743336,0.05999823097032167
GEARS,frangieh_context_holdout_2_Control,excess_rmse,M,106,0.5895508476711087,0.9351947303763578,0.011133776987689241
GEARS,frangieh_context_holdout_2_Control,excess_rmse,H,106,-0.287099780839862,0.0978381043078896,0.005918630812612972
GEARS,frangieh_context_holdout_2_Control,excess_rmse,M_plus_H,106,0.48519887251443033,0.7350582818596357,0.00988730588865958
GEARS,frangieh_context_holdout_3_IFNγ,true_error_rmse,M,103,0.2856170100601854,0.34220627825517586,0.0655502160745007
GEARS,frangieh_context_holdout_3_IFNγ,true_error_rmse,H,103,0.6712757545139042,0.8462136524796322,0.07460259309127212
GEARS,frangieh_context_holdout_3_IFNγ,true_error_rmse,M_plus_H,103,0.4012740253576537,0.5017201468388852,0.06841521319888881
GEARS,frangieh_context_holdout_3_IFNγ,no_change_rmse,M,103,0.19182445196151648,0.249050853663943,0.05818474091113543
GEARS,frangieh_context_holdout_3_IFNγ,no_change_rmse,H,103,0.6972059921802927,0.917080922301207,0.07079686069693729
GEARS,frangieh_context_holdout_3_IFNγ,no_change_rmse,M_plus_H,103,0.32047775955013286,0.4254159557626854,0.0615144380282757
GEARS,frangieh_context_holdout_3_IFNγ,excess_rmse,M,103,0.1789636691121557,0.41137829495717076,0.007365475163365276
GEARS,frangieh_context_holdout_3_IFNγ,excess_rmse,H,103,-0.42363704256908147,-0.6025203880574665,0.00380573239433482
GEARS,frangieh_context_holdout_3_IFNγ,excess_rmse,M_plus_H,103,0.07690829216572613,0.2790207789177015,0.006900775170613109
scGPT,frangieh_context_holdout_1_Co-culture,true_error_rmse,M,104,-0.006049290515309933,-0.07998438478580959,0.048329820945149336
scGPT,frangieh_context_holdout_1_Co-culture,true_error_rmse,H,104,0.6940787367971835,0.8708630114111058,0.07058457994744886
scGPT,frangieh_context_holdout_1_Co-culture,true_error_rmse,M_plus_H,104,0.1597663439793745,0.07674185539852886,0.051363574510270855
scGPT,frangieh_context_holdout_1_Co-culture,no_change_rmse,M,104,-0.012792062306625414,-0.07798296825362196,0.048279107469678006
scGPT,frangieh_context_holdout_1_Co-culture,no_change_rmse,H,104,0.6979622319428145,0.8747409916374831,0.07044823990355321
scGPT,frangieh_context_holdout_1_Co-culture,no_change_rmse,M_plus_H,104,0.15485316481462766,0.07743321871079172,0.05126930194367487
scGPT,frangieh_context_holdout_1_Co-culture,excess_rmse,M,104,0.016931612077243145,-0.1466432742306603,5.071347547133973e-05
scGPT,frangieh_context_holdout_1_Co-culture,excess_rmse,H,104,0.14600448095593732,0.07193178914408047,0.00013634004389565928
scGPT,frangieh_context_holdout_1_Co-culture,excess_rmse,M_plus_H,104,0.044512016233059566,-0.014428632454247714,9.427256659599207e-05
scGPT,frangieh_context_holdout_2_Control,true_error_rmse,M,106,-0.003491447716452125,0.02104282199343591,0.05641570941291068
scGPT,frangieh_context_holdout_2_Control,true_error_rmse,H,106,0.6597727787994055,0.7735630796581932,0.06697900627147063
scGPT,frangieh_context_holdout_2_Control,true_error_rmse,M_plus_H,106,0.1354588096868709,0.1536801735320921,0.05827756988053968
scGPT,frangieh_context_holdout_2_Control,no_change_rmse,M,106,0.0003677859787893292,0.01526927578353359,0.05599864280007835
scGPT,frangieh_context_holdout_2_Control,no_change_rmse,H,106,0.6612741516991207,0.7784378405688813,0.06679688665952409
scGPT,frangieh_context_holdout_2_Control,no_change_rmse,M_plus_H,106,0.14010409059631426,0.1485995449669324,0.057885162799618466
scGPT,frangieh_context_holdout_2_Control,excess_rmse,M,106,-0.014625790361992089,0.12400131144750935,0.000417066612832325
scGPT,frangieh_context_holdout_2_Control,excess_rmse,H,106,-0.11817013880142077,-0.243225604684241,0.000182119611946546
scGPT,frangieh_context_holdout_2_Control,excess_rmse,M_plus_H,106,-0.038794645339169306,0.08545796412732805,0.00039240708092119834
scGPT,frangieh_context_holdout_3_IFNγ,true_error_rmse,M,103,0.15776699029126218,0.3568772438262695,0.06039995274373459
scGPT,frangieh_context_holdout_3_IFNγ,true_error_rmse,H,103,0.6928348635944297,0.9171864764685288,0.07082182860800194
scGPT,frangieh_context_holdout_3_IFNγ,true_error_rmse,M_plus_H,103,0.3078118522103458,0.558374670556196,0.06414784952288578
scGPT,frangieh_context_holdout_3_IFNγ,no_change_rmse,M,103,0.1645872688134253,0.35712568333155215,0.060225147116770086
scGPT,frangieh_context_holdout_3_IFNγ,no_change_rmse,H,103,0.6972059921802927,0.917080922301207,0.07079686069693729
scGPT,frangieh_context_holdout_3_IFNγ,no_change_rmse,M_plus_H,103,0.3153516033937759,0.559249605724794,0.06404115965943886
