fold_id,perturbation,h,n_source_contexts,gene_axis_size,n_expression_rows_read
frangieh_context_holdout_1_Co-culture,A2M+ctrl,0.034146297675195315,2,512,46291
frangieh_context_holdout_1_Co-culture,AEBP1+ctrl,0.030482161561010794,2,512,46291
frangieh_context_holdout_1_Co-culture,AGA+ctrl,0.03227826393693481,2,512,46291
frangieh_context_holdout_1_Co-culture,APOD+ctrl,0.034731197540881664,2,512,46291
frangieh_context_holdout_1_Co-culture,B2M+ctrl,0.03585509294837092,2,512,46291
frangieh_context_holdout_1_Co-culture,BOLA2+ctrl,0.040922984794866786,2,512,46291
frangieh_context_holdout_1_Co-culture,BOLA2B+ctrl,0.04106794476391937,2,512,46291
frangieh_context_holdout_1_Co-culture,BZW2+ctrl,0.03475161495228814,2,512,46291
frangieh_context_holdout_1_Co-culture,C1QBP+ctrl,0.03783983448708336,2,512,46291
frangieh_context_holdout_1_Co-culture,C6orf226+ctrl,0.036859204271730006,2,512,46291
frangieh_context_holdout_1_Co-culture,CCND1+ctrl,0.03784432237747065,2,512,46291
frangieh_context_holdout_1_Co-culture,CCND2+ctrl,0.03849409395528515,2,512,46291
frangieh_context_holdout_1_Co-culture,CCR10+ctrl,0.033118459861408774,2,512,46291
frangieh_context_holdout_1_Co-culture,CD151+ctrl,0.03346147584750028,2,512,46291
frangieh_context_holdout_1_Co-culture,CD274+ctrl,0.03585269180876957,2,512,46291
frangieh_context_holdout_1_Co-culture,CD44+ctrl,0.03138790234021181,2,512,46291
frangieh_context_holdout_1_Co-culture,CD59+ctrl,0.0325704919456215,2,512,46291
frangieh_context_holdout_1_Co-culture,CD63+ctrl,0.03542592345411222,2,512,46291
frangieh_context_holdout_1_Co-culture,CDK4+ctrl,0.03989326370331586,2,512,46291
frangieh_context_holdout_1_Co-culture,CDKN1A+ctrl,0.03344769066912483,2,512,46291
frangieh_context_holdout_1_Co-culture,CDKN2A+ctrl,0.03652860600224621,2,512,46291
frangieh_context_holdout_1_Co-culture,CHCHD2+ctrl,0.03337418170813259,2,512,46291
frangieh_context_holdout_1_Co-culture,CITED1+ctrl,0.030155953826507438,2,512,46291
frangieh_context_holdout_1_Co-culture,CSPG4+ctrl,0.031857091738606305,2,512,46291
frangieh_context_holdout_1_Co-culture,CTPS1+ctrl,0.0528983419314275,2,512,46291
frangieh_context_holdout_1_Co-culture,CTSB+ctrl,0.035438727435119576,2,512,46291
frangieh_context_holdout_1_Co-culture,CTSD+ctrl,0.0314511743174029,2,512,46291
frangieh_context_holdout_1_Co-culture,CXCR4+ctrl,0.03218946732414985,2,512,46291
frangieh_context_holdout_1_Co-culture,DAG1+ctrl,0.03402433497057665,2,512,46291
frangieh_context_holdout_1_Co-culture,DDX39A+ctrl,0.03941615865348877,2,512,46291
frangieh_context_holdout_1_Co-culture,DLL3+ctrl,0.03377647773187106,2,512,46291
frangieh_context_holdout_1_Co-culture,DNMT1+ctrl,0.0527505163543625,2,512,46291
frangieh_context_holdout_1_Co-culture,EEA1+ctrl,0.04031406138124334,2,512,46291
frangieh_context_holdout_1_Co-culture,EMP1+ctrl,0.0322613843324632,2,512,46291
frangieh_context_holdout_1_Co-culture,EVA1A+ctrl,0.03700065960435177,2,512,46291
