fold_id,task_id,split,context,perturbation,setting,predicted_effect_l2,h,predictor,M,H,M_plus_H
frangieh_context_holdout_1_Co-culture,Co-culture::A2M+ctrl,test,Co-culture,A2M+ctrl,context_unseen_row,0.0653727501630783,0.034146297675195315,scGPT,0.10576923076923077,0.4326923076923077,0.17115384615384616
frangieh_context_holdout_1_Co-culture,Co-culture::AEBP1+ctrl,test,Co-culture,AEBP1+ctrl,context_unseen_row,0.0654187873005867,0.030482161561010794,scGPT,0.20192307692307693,0.057692307692307696,0.17307692307692307
frangieh_context_holdout_1_Co-culture,Co-culture::AGA+ctrl,test,Co-culture,AGA+ctrl,context_unseen_row,0.0653981044888496,0.03227826393693481,scGPT,0.17307692307692307,0.18269230769230768,0.17500000000000002
frangieh_context_holdout_1_Co-culture,Co-culture::APOD+ctrl,test,Co-culture,APOD+ctrl,context_unseen_row,0.0657558441162109,0.034731197540881664,scGPT,0.9615384615384616,0.5,0.8692307692307693
frangieh_context_holdout_1_Co-culture,Co-culture::B2M+ctrl,test,Co-culture,B2M+ctrl,context_unseen_row,0.0654746741056442,0.03585509294837092,scGPT,0.36538461538461536,0.6057692307692307,0.4134615384615385
frangieh_context_holdout_1_Co-culture,Co-culture::BOLA2+ctrl,test,Co-culture,BOLA2+ctrl,context_unseen_row,0.0655382350087165,0.040922984794866786,scGPT,0.6153846153846154,0.8653846153846154,0.6653846153846155
frangieh_context_holdout_1_Co-culture,Co-culture::BOLA2B+ctrl,test,Co-culture,BOLA2B+ctrl,context_unseen_row,0.0654455423355102,0.04106794476391937,scGPT,0.27884615384615385,0.875,0.3980769230769231
frangieh_context_holdout_1_Co-culture,Co-culture::BZW2+ctrl,test,Co-culture,BZW2+ctrl,context_unseen_row,0.0655820667743682,0.03475161495228814,scGPT,0.7019230769230769,0.5096153846153846,0.6634615384615384
frangieh_context_holdout_1_Co-culture,Co-culture::C1QBP+ctrl,test,Co-culture,C1QBP+ctrl,context_unseen_row,0.0656586065888404,0.03783983448708336,scGPT,0.8365384615384616,0.7211538461538461,0.8134615384615386
frangieh_context_holdout_1_Co-culture,Co-culture::C6orf226+ctrl,test,Co-culture,C6orf226+ctrl,context_unseen_row,0.0655022412538528,0.036859204271730006,scGPT,0.46153846153846156,0.6538461538461539,0.5
frangieh_context_holdout_1_Co-culture,Co-culture::CCND1+ctrl,test,Co-culture,CCND1+ctrl,context_unseen_row,0.0654488876461982,0.03784432237747065,scGPT,0.3076923076923077,0.7307692307692307,0.39230769230769236
frangieh_context_holdout_1_Co-culture,Co-culture::CCND2+ctrl,test,Co-culture,CCND2+ctrl,context_unseen_row,0.0654352158308029,0.03849409395528515,scGPT,0.25961538461538464,0.7403846153846154,0.35576923076923084
frangieh_context_holdout_1_Co-culture,Co-culture::CCR10+ctrl,test,Co-culture,CCR10+ctrl,context_unseen_row,0.0656409859657287,0.033118459861408774,scGPT,0.8173076923076923,0.2980769230769231,0.7134615384615385
frangieh_context_holdout_1_Co-culture,Co-culture::CD151+ctrl,test,Co-culture,CD151+ctrl,context_unseen_row,0.0654890164732933,0.03346147584750028,scGPT,0.40384615384615385,0.3557692307692308,0.3942307692307693
frangieh_context_holdout_1_Co-culture,Co-culture::CD274+ctrl,test,Co-culture,CD274+ctrl,context_unseen_row,0.0652046054601669,0.03585269180876957,scGPT,0.009615384615384616,0.5961538461538461,0.12692307692307692
frangieh_context_holdout_1_Co-culture,Co-culture::CD44+ctrl,test,Co-culture,CD44+ctrl,context_unseen_row,0.0655618011951446,0.03138790234021181,scGPT,0.6346153846153846,0.08653846153846154,0.525
frangieh_context_holdout_1_Co-culture,Co-culture::CD59+ctrl,test,Co-culture,CD59+ctrl,context_unseen_row,0.0653973519802093,0.0325704919456215,scGPT,0.16346153846153846,0.22115384615384615,0.17500000000000002
frangieh_context_holdout_1_Co-culture,Co-culture::CD63+ctrl,test,Co-culture,CD63+ctrl,context_unseen_row,0.065336212515831,0.03542592345411222,scGPT,0.04807692307692308,0.5769230769230769,0.15384615384615385
frangieh_context_holdout_1_Co-culture,Co-culture::CDK4+ctrl,test,Co-culture,CDK4+ctrl,context_unseen_row,0.0656399875879287,0.03989326370331586,scGPT,0.8076923076923077,0.8173076923076923,0.8096153846153846
frangieh_context_holdout_1_Co-culture,Co-culture::CDKN1A+ctrl,test,Co-culture,CDKN1A+ctrl,context_unseen_row,0.0653901547193527,0.03344769066912483,scGPT,0.125,0.34615384615384615,0.16923076923076924
frangieh_context_holdout_1_Co-culture,Co-culture::CDKN2A+ctrl,test,Co-culture,CDKN2A+ctrl,context_unseen_row,0.0653636679053306,0.03652860600224621,scGPT,0.07692307692307693,0.6346153846153846,0.18846153846153846
frangieh_context_holdout_1_Co-culture,Co-culture::CHCHD2+ctrl,test,Co-culture,CHCHD2+ctrl,context_unseen_row,0.0654054507613182,0.03337418170813259,scGPT,0.18269230769230768,0.3173076923076923,0.20961538461538462
frangieh_context_holdout_1_Co-culture,Co-culture::CITED1+ctrl,test,Co-culture,CITED1+ctrl,context_unseen_row,0.0655948892235755,0.030155953826507438,scGPT,0.7115384615384616,0.038461538461538464,0.576923076923077
