dataset,fold_id,feature,n_tasks,spearman_with_gears_excess_error,spearman_with_gears_error,spearman_with_scgpt_error
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_calibrated_pair_risk,279,0.6130441269104532,0.27144680568908924,-0.1821315297992021
Frangieh,frangieh_context_holdout_1_Co-culture,risk_model_disagreement,279,0.403140713235863,0.24820309650896794,-0.13490037463117063
Frangieh,frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,279,0.39894683331675673,0.26863541424924575,-0.11417741382930521
Frangieh,frangieh_context_holdout_1_Co-culture,context_novelty_scaled,279,0.6090897461425748,0.0009520002284191543,-0.2957864709698312
Frangieh,frangieh_context_holdout_1_Co-culture,perturbation_novelty,279,-0.40057450139766554,0.054149086224170244,0.26605321800372694
Frangieh,frangieh_context_holdout_1_Co-culture,training_support_count,279,0.40057450139766554,-0.054149086224170244,-0.26605321800372694
Frangieh,frangieh_context_holdout_2_Control,safeconf_calibrated_pair_risk,279,0.6686022610483042,0.5218595630408116,0.2982235409828819
Frangieh,frangieh_context_holdout_2_Control,risk_model_disagreement,279,0.4645470720198035,0.25165102940688927,0.025981058471195393
Frangieh,frangieh_context_holdout_2_Control,baseline_predicted_magnitude,279,0.5431306567649107,0.302607499254053,0.056685342969863745
Frangieh,frangieh_context_holdout_2_Control,context_novelty_scaled,279,0.5396889294908186,0.5318825276177815,0.43135130349671874
Frangieh,frangieh_context_holdout_2_Control,perturbation_novelty,279,-0.31654845566457446,-0.3762616461014662,-0.3186673755077898
Frangieh,frangieh_context_holdout_2_Control,training_support_count,279,0.31654845566457446,0.3762616461014662,0.3186673755077898
Frangieh,frangieh_context_holdout_3_IFNγ,safeconf_calibrated_pair_risk,279,0.5977816464911397,0.39775088756398275,0.09682597467117887
Frangieh,frangieh_context_holdout_3_IFNγ,risk_model_disagreement,279,0.31360994153985566,0.24392578103415885,0.06801876471173292
Frangieh,frangieh_context_holdout_3_IFNγ,baseline_predicted_magnitude,279,0.21815745560233843,0.19012034611941783,0.05983102918586789
Frangieh,frangieh_context_holdout_3_IFNγ,context_novelty_scaled,279,0.6767769623831768,0.446773707197109,0.11281202706766978
Frangieh,frangieh_context_holdout_3_IFNγ,perturbation_novelty,279,-0.3979256772614121,-0.3125197942152682,-0.1231605751549052
Frangieh,frangieh_context_holdout_3_IFNγ,training_support_count,279,0.3979256772614121,0.3125197942152682,0.1231605751549052
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf_calibrated_pair_risk,69,-0.11717208622579468,0.34574351479722326,0.44727804165144325
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,risk_model_disagreement,69,-0.5150895140664962,0.02915601023017903,0.37340153452685426
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,baseline_predicted_magnitude,69,-0.39470222871757404,0.058713920350749,0.3240409207161126
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,context_novelty_scaled,69,-0.5324954302168589,-0.3774280796592022,-0.027795091137693177
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,perturbation_novelty,69,0.7976882901479883,0.431472251202372,-0.06035852631709653
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,training_support_count,69,-0.7976882901479883,-0.431472251202372,0.06035852631709653
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf_calibrated_pair_risk,69,-0.2442820606503471,0.004567044208987943,0.0905736207526489
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,risk_model_disagreement,69,-0.3398976982097187,-0.07767628790646694,0.0474607234198027
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,baseline_predicted_magnitude,69,-0.34198027036901724,-0.06635001826817685,0.05575447570332481
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,context_novelty_scaled,69,-0.283802509511183,-0.35548458665576016,-0.25454451883992707
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,perturbation_novelty,69,0.5909071853868731,0.5041046992552436,0.2682108146963928
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,training_support_count,69,-0.5909071853868731,-0.5041046992552436,-0.2682108146963928
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_calibrated_pair_risk,69,-0.04201680672268907,0.4458165875045671,0.45144318597004024
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),risk_model_disagreement,69,-0.1318597004018999,0.22612349287541106,0.26039459261965664
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),baseline_predicted_magnitude,69,-0.17336499817318235,0.22316404822798688,0.2674826452320059
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),context_novelty_scaled,69,-0.23260102583648506,0.28819120811187143,0.38474257732701617
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),perturbation_novelty,69,0.5762801359531428,0.06615480913140243,-0.1886410213176291
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),training_support_count,69,-0.5762801359531428,-0.06615480913140243,0.1886410213176291
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf_calibrated_pair_risk,69,-0.08502009499451955,0.41421264157837057,0.4963829009864816
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,risk_model_disagreement,69,-0.5356229448301061,-0.11852393131165512,0.22919254658385096
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,baseline_predicted_magnitude,69,-0.6329557910120571,-0.2172816952868104,0.18586043112897335
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,context_novelty_scaled,69,-0.342318490853695,-0.47105364980722136,-0.2589332174406154
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,perturbation_novelty,69,0.6450867071859728,0.5068014369706538,0.09527684591118554
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,training_support_count,69,-0.6450867071859728,-0.5068014369706538,-0.09527684591118554
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf_calibrated_pair_risk,69,0.06653270003653636,0.43792473511143587,0.36247716477895514
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,risk_model_disagreement,69,-0.4130434782608696,0.15560833028863721,0.37924735111435887
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,baseline_predicted_magnitude,69,-0.4960906101571064,0.043441724515893315,0.3441359152356595
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,context_novelty_scaled,69,-0.3145233997160018,-0.19017693936316388,0.09216267061445634
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,perturbation_novelty,69,0.7083055800632874,0.4840955861959438,-0.04959874523496959
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,training_support_count,69,-0.7083055800632874,-0.4840955861959438,0.04959874523496959
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,safeconf_calibrated_pair_risk,51,0.09356119267966449,0.2105126835292451,0.11510861887255693
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,risk_model_disagreement,51,0.33067873303167417,-0.12552036199095024,-0.2232579185520362
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,baseline_predicted_magnitude,51,0.15565610859728504,-0.17945701357466065,-0.26262443438914024
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,context_novelty_scaled,51,-0.002677077940064704,-0.1873954558045293,-0.12046850730291168
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,perturbation_novelty,51,0.08241399935192595,0.2373114275491075,0.1291947751210936
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,training_support_count,51,-0.08241399935192595,-0.2373114275491075,-0.1291947751210936
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,safeconf_calibrated_pair_risk,51,-0.2011605386722385,-0.05909719899520374,-0.04864854580708174
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,risk_model_disagreement,51,0.18352941176470586,-0.0028959276018099543,-0.05520361990950227
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,baseline_predicted_magnitude,51,0.06977375565610859,-0.16968325791855202,-0.19954751131221718
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,context_novelty_scaled,51,0.05354155880129408,0.7843838364389584,0.8004463040793467
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,perturbation_novelty,51,-0.14623106136860645,-0.4431155924090906,-0.45307816056481154
