dataset,feature,n_folds,spearman_with_gears_excess_error,spearman_with_gears_error,spearman_with_scgpt_error
Frangieh,baseline_predicted_magnitude,3,0.3867449818946686,0.2537877532075722,0.0007796527754754742
Frangieh,context_novelty_scaled,3,0.6085185460055235,0.32653607834776993,0.08279228653151911
Frangieh,perturbation_novelty,3,-0.37168287810788403,-0.2115441180308547,-0.05859157755298935
Frangieh,risk_model_disagreement,3,0.39376590893184077,0.24792663565000536,-0.013633517149414109
Frangieh,safeconf_calibrated_pair_risk,3,0.626476011483299,0.39701908543129455,0.07097266195161955
Frangieh,training_support_count,3,0.37168287810788403,0.2115441180308547,0.05859157755298935
Lara_exvivo,baseline_predicted_magnitude,5,-0.40781877968578745,0.008337595907928385,0.23545487760321526
Lara_exvivo,context_novelty_scaled,5,-0.34114817122684477,-0.2211904094746952,-0.012873515895352636
Lara_exvivo,perturbation_novelty,5,0.6636535797474529,0.3985257565511231,0.012977873547576619
Lara_exvivo,risk_model_disagreement,5,-0.38710266715381814,0.04293752283522105,0.25793934965290466
Lara_exvivo,safeconf_calibrated_pair_risk,5,-0.0843916697113628,0.329652904640117,0.3696309828279138
Lara_exvivo,training_support_count,5,-0.6636535797474529,-0.3985257565511231,-0.012977873547576619
Santinha,baseline_predicted_magnitude,5,0.15047963800904976,-0.042027149321266964,-0.1283438914027149
Santinha,context_novelty_scaled,5,0.3169660281036609,0.04765198733315175,-0.026770779400647017
Santinha,perturbation_novelty,5,-0.20146101101458752,-0.006566816422303554,0.042640684346011135
Santinha,risk_model_disagreement,5,0.24476018099547509,-0.07071493212669683,-0.17268778280542987
Santinha,safeconf_calibrated_pair_risk,5,-0.07516327254829239,0.06034835336638864,0.0672689206864214
Santinha,training_support_count,5,0.20146101101458752,0.006566816422303554,-0.042640684346011135
three_dataset_equal_macro,baseline_predicted_magnitude,13,0.04313528007264364,0.07336606659807787,0.03596354632532528
three_dataset_equal_macro,context_novelty_scaled,13,0.1947788009607799,0.05099921873540882,0.014382663745173154
three_dataset_equal_macro,perturbation_novelty,13,0.030169896874993773,0.06013827403265495,-0.0009910065531338653
three_dataset_equal_macro,risk_model_disagreement,13,0.0838078075911659,0.07338307545284319,0.023872683232686893
three_dataset_equal_macro,safeconf_calibrated_pair_risk,13,0.1556403564078813,0.2623401144792667,0.16929085515531825
three_dataset_equal_macro,training_support_count,13,-0.030169896874993773,-0.06013827403265495,0.0009910065531338653
