dataset,gene,n_tasks,mean_safeconf_risk,mean_gears_excess_error,mean_gears_error,mean_scgpt_error,safeconf_percentile,gears_excess_percentile,top20_safeconf_risk,top20_gears_excess_error,top20_overlap
Frangieh,A2M,3,0.0645994141349506,0.005068231798569768,0.04989622591037953,0.044827994111809766,0.5555555555555556,0.7195767195767195,False,False,False
Frangieh,ACSL3,3,0.0653412582162753,-0.00010971903386623276,0.07435430033997577,0.07446401937384199,0.7407407407407407,0.015873015873015872,False,False,False
Frangieh,ACTA2,3,0.0655406848819476,0.006151307291686735,0.0511797290145183,0.045028421722831564,0.7724867724867724,0.8518518518518519,False,True,False
Frangieh,AEBP1,4,0.0630960967826112,0.0038156723905443234,0.047400018017145974,0.04358434562660165,0.328042328042328,0.48677248677248675,False,False,False
Frangieh,AGA,4,0.06247856305357725,0.002321688617277126,0.05058376498090255,0.04826207636362542,0.23809523809523808,0.25925925925925924,False,False,False
Frangieh,AHNAK,5,0.06349298500316794,0.002546157170771039,0.0515863985724857,0.04904024140171466,0.38095238095238093,0.31746031746031744,False,False,False
Frangieh,APOD,6,0.061623386012155466,0.0022521425982429005,0.04759812561924909,0.04534598302100618,0.1164021164021164,0.2328042328042328,False,False,False
Frangieh,APOE,5,0.06468815631752597,0.01175547355023996,0.05663592502220358,0.04488045147196362,0.5978835978835979,0.9682539682539683,False,True,False
Frangieh,ARMC6,7,0.05964340608387488,0.001043949272309942,0.05153169080077447,0.05048774152846453,0.021164021164021163,0.05291005291005291,False,False,False
Frangieh,ATP1B1,7,0.06608721258674477,0.0064007772064885865,0.05260928317755343,0.046208505971064844,0.8412698412698413,0.8835978835978836,True,True,True
Frangieh,B2M,3,0.0652064867359304,0.005265570703942335,0.051330706855442075,0.046065136151499736,0.7248677248677249,0.7513227513227513,False,False,False
Frangieh,BOLA2,4,0.06205104766540575,0.003377629963065353,0.060469076486739826,0.057091446523674476,0.1746031746031746,0.4444444444444444,False,False,False
Frangieh,BOLA2B,4,0.060526274544474,0.0028314069739643483,0.06255716699133113,0.05972576001736678,0.042328042328042326,0.35978835978835977,False,False,False
Frangieh,BZW2,4,0.06127226220958565,0.002581036215635924,0.05364515621762295,0.051064120001987026,0.09523809523809523,0.328042328042328,False,False,False
Frangieh,C19orf48,4,0.066974698837237,0.013676065199297127,0.0588930009163268,0.04521693571702967,0.8994708994708994,0.9735449735449735,True,True,True
Frangieh,C1QBP,3,0.06539452440238647,0.0033274728240131704,0.06391375376590526,0.06058628094189209,0.746031746031746,0.43386243386243384,False,False,False
Frangieh,C6orf226,5,0.06288812621004566,0.0030069249522347006,0.050801048794397966,0.047794123842163264,0.2857142857142857,0.36507936507936506,False,False,False
Frangieh,CCND1,3,0.06632712173878273,-4.509858970943442e-05,0.0688436775398703,0.06888877612957973,0.8571428571428571,0.021164021164021163,True,False,False
Frangieh,CCND2,3,0.06569919893105726,0.005404218209635364,0.054868962170998535,0.04946474396136317,0.7777777777777778,0.7619047619047619,False,False,False
Frangieh,CCR10,3,0.06427483126413276,0.004220136650659363,0.052003565403929496,0.04778342875327013,0.47619047619047616,0.5661375661375662,False,False,False
Frangieh,CD151,4,0.06228141763762357,0.0036410431801252984,0.052589966976824075,0.048948923796698775,0.2328042328042328,0.4708994708994709,False,False,False
Frangieh,CD274,3,0.06709153637033256,0.004220185832475865,0.05080040314576584,0.046580217313289964,0.9047619047619048,0.5714285714285714,True,False,False
Frangieh,CD44,6,0.06380044163550734,0.0031253350948844323,0.04470506454698827,0.04157972945210383,0.4074074074074074,0.3968253968253968,False,False,False
Frangieh,CD47,5,0.06280076112963974,0.0017558011448760402,0.05277114522523668,0.05101534408036064,0.2751322751322751,0.12169312169312169,False,False,False
Frangieh,CD58,3,0.06498607466994576,0.004660869220433068,0.05173254591303477,0.047071676692601705,0.6984126984126984,0.6507936507936508,False,False,False
Frangieh,CD59,3,0.06444118010356499,0.004657997497180898,0.0502942663393253,0.0456362688421444,0.5079365079365079,0.6455026455026455,False,False,False
Frangieh,CD63,4,0.0610465513440481,0.004443663407350876,0.054794304484598176,0.0503506410772473,0.08465608465608465,0.6084656084656085,False,False,False
Frangieh,CDH19,7,0.06645388060354171,0.005408358828632556,0.04635287647788804,0.04094451764925549,0.8677248677248677,0.7671957671957672,True,False,False
Frangieh,CDK4,5,0.06648623897122483,0.002318201568705179,0.05881188443494858,0.0564936828662434,0.873015873015873,0.25396825396825395,True,False,False
Frangieh,CDK6,3,0.06737048003549523,0.0006329412054154326,0.08372207734241566,0.08308913613700024,0.9206349206349206,0.042328042328042326,True,False,False
Frangieh,CDKN1A,5,0.06338776780358948,0.005210695211896701,0.05237746912825634,0.047166773916359636,0.37566137566137564,0.7407407407407407,False,False,False
Frangieh,CDKN2A,3,0.0650264934253371,0.003953413148222766,0.0540612772778317,0.05010786412960894,0.7037037037037037,0.5396825396825397,False,False,False
Frangieh,CDKN2B,6,0.0619589538810183,0.00251286132757735,0.05171807280334021,0.049205211475762865,0.15873015873015872,0.30687830687830686,False,False,False
Frangieh,CHCHD2,4,0.06254633639592275,0.005696486617896001,0.0500540982576899,0.044357611639793904,0.24338624338624337,0.7936507936507936,False,False,False
Frangieh,CITED1,5,0.06284622123123346,0.003203174305564882,0.044410389779863724,0.04120721547429884,0.2804232804232804,0.4126984126984127,False,False,False
Frangieh,CKS1B,7,0.06548553213125999,0.0004232738118227289,0.05354434735607894,0.053121073544256214,0.7566137566137566,0.031746031746031744,False,False,False
Frangieh,CMSS1,4,0.061055234210668344,0.0033063953392275507,0.0534954878721821,0.050189092532954546,0.08994708994708994,0.42857142857142855,False,False,False
Frangieh,CORO1A,5,0.059639608884232476,0.003264322155329122,0.05000106047506277,0.04673673831973364,0.015873015873015872,0.42328042328042326,False,False,False
Frangieh,CSPG4,3,0.06490126367248113,0.0051353773821217015,0.04766132354155573,0.04252594615943403,0.6772486772486772,0.7248677248677249,False,False,False
Frangieh,CST3,3,0.06421462609293217,0.004772952091188267,0.0628436545157454,0.058070702424557134,0.4603174603174603,0.671957671957672,False,False,False
Frangieh,CTPS1,3,0.06541215547995062,-0.001189885373598737,0.09075384709525647,0.09194373246885519,0.7513227513227513,0.005291005291005291,False,False,False
Frangieh,CTSA,3,0.0646067557210802,0.004365916609076,0.06120942063444473,0.05684350402536873,0.5608465608465608,0.5873015873015873,False,False,False
Frangieh,CTSB,5,0.06612088276618786,0.00427652051233036,0.057221299783045555,0.052944779270715205,0.8465608465608465,0.5767195767195767,True,False,False
Frangieh,CTSD,3,0.06514701216959103,0.003409997525388233,0.05847933852609313,0.0550693410007049,0.7142857142857143,0.455026455026455,False,False,False
Frangieh,CTSL,7,0.06470724659407935,0.0023284975049831414,0.05612807152908147,0.05379957402409833,0.6084656084656085,0.2698412698412698,False,False,False
Frangieh,CTSO,7,0.06222505327365736,0.002601954720585445,0.04886410882561494,0.0462621541050295,0.21164021164021163,0.3333333333333333,False,False,False
Frangieh,CXCR4,3,0.06469180970527416,0.004439190310089834,0.0515172615246958,0.047078071214605964,0.6031746031746031,0.6031746031746031,False,False,False
Frangieh,CYP27A1,5,0.06489251303661189,0.006597849136754458,0.0519907648811617,0.04539291574440724,0.671957671957672,0.8941798941798942,False,True,False
Frangieh,DAG1,5,0.07012305627354413,0.007498684684288539,0.05311658700929935,0.04561790232501082,0.9682539682539683,0.9259259259259259,True,True,True
Frangieh,DDR1,6,0.06396887525921771,0.002395840724583216,0.05039984446533193,0.04800400374074872,0.41798941798941797,0.2751322751322751,False,False,False
Frangieh,DDX17,5,0.06056475003544056,0.00453273645521742,0.05967390869862632,0.0551411722434089,0.047619047619047616,0.6243386243386243,False,False,False
