fold_id,task_id,split,setting,context,perturbation,risk_model_disagreement,baseline_predicted_magnitude,context_novelty_scaled,training_support_count,perturbation_novelty,risk_disagreement_z,predicted_magnitude_z,safeconf_frozen_pair_risk,safeconf_calibrated_pair_risk,test_truth_used_for_score_or_threshold,dataset,error_scgpt_rmse,error_gears_rmse,error_two_predictor_mean_rmse,error_two_predictor_max_rmse
Replogle_cellline_holdout_1_K562,K562::PXN,test,context_unseen,K562,PXN,0.0754678104410897,0.0358592681586742,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0606779942878327,0.0674584671629017,0.0640682307253672,0.0674584671629017
Replogle_cellline_holdout_1_K562,K562::WDR4,test,context_unseen,K562,WDR4,0.0754884054487381,0.0358700267970562,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0539265993827847,0.060774151754729,0.0573503755687569,0.060774151754729
Replogle_cellline_holdout_1_K562,K562::SS18L2,test,context_unseen,K562,SS18L2,0.0754782368348318,0.0358520299196243,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0774348876903453,0.0853330681695002,0.0813839779299228,0.0853330681695002
Replogle_cellline_holdout_1_K562,K562::DCAF6,test,context_unseen,K562,DCAF6,0.0754820376263704,0.0358491167426109,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.059924248795059,0.0639572425058212,0.0619407456504401,0.0639572425058212
Replogle_cellline_holdout_1_K562,K562::TM7SF2,test,context_unseen,K562,TM7SF2,0.0754885167906728,0.0358609892427921,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0692628386252807,0.0740601412895687,0.0716614899574247,0.0740601412895687
Replogle_cellline_holdout_1_K562,K562::ARL4D,test,context_and_perturbation_unseen,K562,ARL4D,0.0754743668813469,0.0358706563711166,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0579637052559103,0.0683764624473321,0.0631700838516212,0.0683764624473321
Replogle_cellline_holdout_1_K562,K562::TWF1,test,context_unseen,K562,TWF1,0.075518483249371,0.035855121910572,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0594333838380718,0.0674307609152114,0.0634320723766416,0.0674307609152114
Replogle_cellline_holdout_1_K562,K562::PRELID3B,test,context_unseen,K562,PRELID3B,0.0754775491782901,0.0358635932207107,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.1490950689206426,0.1557097216736992,0.1524023952971709,0.1557097216736992
Replogle_cellline_holdout_1_K562,K562::RAC3,test,context_unseen,K562,RAC3,0.0755030309147589,0.0358556434512138,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.059942184514702,0.0707542710418836,0.0653482277782928,0.0707542710418836
Replogle_cellline_holdout_1_K562,K562::CCNK,test,context_unseen,K562,CCNK,0.0754764345026901,0.0358651876449584,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.074338943468689,0.0770415293113712,0.0756902363900301,0.0770415293113712
Replogle_cellline_holdout_1_K562,K562::WBP11,test,context_unseen,K562,WBP11,0.0754402653244857,0.0358652547001838,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.1001528207595159,0.1072657959460623,0.1037093083527891,0.1072657959460623
Replogle_cellline_holdout_1_K562,K562::CCNB1,test,context_unseen,K562,CCNB1,0.0754503253945061,0.0358775332570076,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0680953547248839,0.0823502116949526,0.0752227832099183,0.0823502116949526
Replogle_cellline_holdout_1_K562,K562::ELOVL1,test,context_unseen,K562,ELOVL1,0.0754921877710123,0.0358527339994907,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0607712526497736,0.064136534274871,0.0624538934623223,0.064136534274871
Replogle_cellline_holdout_1_K562,K562::SETDB1,test,context_unseen,K562,SETDB1,0.0754678898959807,0.0358671173453331,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0826271908613855,0.08795117677296,0.0852891838171728,0.08795117677296
Replogle_cellline_holdout_1_K562,K562::COX6C,test,context_unseen,K562,COX6C,0.0754716064321553,0.0358613543212413,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.0832330195167237,0.0952763295029705,0.0892546745098471,0.0952763295029705
Replogle_cellline_holdout_1_K562,K562::VPS54,test,context_unseen,K562,VPS54,0.0754708783777876,0.0358592458069324,1.0,0,1.0,5.0,5.0,7.0,0.654634505573156,False,Replogle_two_cellline,0.0611188441703329,0.0739561147819868,0.0675374794761599,0.0739561147819868
Replogle_cellline_holdout_1_K562,K562::NUP107,test,context_unseen,K562,NUP107,0.0754137766020489,0.0358851589262485,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.1050527996424754,0.1261559499619177,0.1156043748021966,0.1261559499619177
Replogle_cellline_holdout_1_K562,K562::GRPEL1,test,context_unseen,K562,GRPEL1,0.075438581950525,0.0358736626803875,1.0,1,0.5,5.0,5.0,6.5,0.654634505573156,False,Replogle_two_cellline,0.1247371024150819,0.138885857978609,0.1318114801968455,0.138885857978609
