seed,model,epoch,train_mse,validation_mse
3407,scGPT,1,2.0496534250144447,0.04628559574484825
3407,scGPT,2,0.030096631829759905,0.02315460704267025
3407,scGPT,3,0.02747104529823576,0.03284146497026086
3407,scGPT,4,0.025477190102849687,0.02431209455244243
3407,scGPT,5,0.0234182280089174,0.023037868551909924
3407,scGPT,6,0.023042829973357066,0.02476303791627288
3407,scGPT,7,0.02362174028530717,0.024024610873311758
3407,scGPT,8,0.023498736588018283,0.02444017119705677
3407,GEARS,1,0.024968648329377174,0.02616192353889346
3407,GEARS,2,0.01911586190440825,0.02540834015235305
3407,GEARS,3,0.01587346921275769,0.022623112192377448
3407,GEARS,4,0.013263324342135872,0.013786945259198546
3407,GEARS,5,0.012512520487819399,0.011456986190751195
3407,GEARS,6,0.011084372909473521,0.010993382427841425
3407,GEARS,7,0.01163825741969049,0.010744339320808649
3407,GEARS,8,0.01032825862057507,0.010722667444497347
3407,GEARS,9,0.010784039007765906,0.010756676259916276
3407,GEARS,10,0.01032502786256373,0.010803715791553259
3407,GEARS,11,0.009891159433339323,0.010428623936604708
3407,GEARS,12,0.009663139004260302,0.010432984912768006
3407,GEARS,13,0.009517908861328448,0.010414010495878756
3407,GEARS,14,0.009448719776368566,0.010503131547011435
3407,GEARS,15,0.009688261896371841,0.010338775522541255
3407,GEARS,16,0.009320244159815567,0.010180388577282429
3407,GEARS,17,0.009155764926357992,0.010130747628863901
3407,GEARS,18,0.009760306250037891,0.010064383212011307
3407,GEARS,19,0.009358227119914122,0.010138463287148625
3407,GEARS,20,0.009188131163162845,0.010059267515316606
3407,GEARS,21,0.00923303421586752,0.010213620844297111
3407,GEARS,22,0.009001174509259207,0.01001385017298162
3407,GEARS,23,0.008754954739872898,0.010025062132626772
3407,GEARS,24,0.008683004466417645,0.010326412797439843
3407,GEARS,25,0.008730300702154636,0.010284230054821819
3407,GEARS,26,0.008833551430143416,0.009913866873830557
3407,GEARS,27,0.008921150284420167,0.009897909534629434
3407,GEARS,28,0.008520170181457485,0.009870581037830561
3407,GEARS,29,0.008593835951095181,0.009951411804649979
3407,GEARS,30,0.009328488559861268,0.010009267716668546
3407,GEARS,31,0.008862151531502604,0.009778113919310272
3407,GEARS,32,0.009077925118617713,0.009956262481864542
3407,GEARS,33,0.008991414780861564,0.010155574069358408
3407,GEARS,34,0.009380588341238243,0.009797561913728714
3407,GEARS,35,0.009602438425645232,0.009945520665496588
3407,GEARS,36,0.008966382526393448,0.009912881534546614
3407,GEARS,37,0.008823542024141975,0.009866289561614394
3408,scGPT,1,0.9284922807876553,0.024957757676020265
3408,scGPT,2,0.04394702719790595,0.02952588815242052
3408,scGPT,3,0.02486105915158987,0.02570085972547531
3408,scGPT,4,0.024196223222783635,0.025756710674613714
3408,GEARS,1,0.024993848587785448,0.025375764816999435
3408,GEARS,2,0.018797731891806637,0.023422173224389553
3408,GEARS,3,0.014594770568822111,0.01907229283824563
3408,GEARS,4,0.012650918548128434,0.013066728017292917
3408,GEARS,5,0.011499128204637341,0.011432689614593983
3408,GEARS,6,0.010785735179004925,0.011044348531868309
3408,GEARS,7,0.010702488045873386,0.01042772171786055
3408,GEARS,8,0.010459532695157188,0.010461529192980379
3408,GEARS,9,0.009884946680228626,0.010494358721189201
3408,GEARS,10,0.009746666365702237,0.01053581724409014
3408,GEARS,11,0.010331286782664912,0.010277012770529836
3408,GEARS,12,0.010097242925050003,0.010378033155575395
3408,GEARS,13,0.009818999296320336,0.01056434097699821
3408,GEARS,14,0.00927732336068792,0.010333547077607363
3408,GEARS,15,0.009276064628336047,0.010335501690860838
3408,GEARS,16,0.01051709970592388,0.010356045968364924
3408,GEARS,17,0.009711080230772495,0.01008338900282979
3408,GEARS,18,0.01007248813818608,0.010127376532182097
3408,GEARS,19,0.009211752314253576,0.010052454832475632
3408,GEARS,20,0.009875294303388469,0.010239027615170926
