seed,model,best_epoch,best_validation_mse,pretrained_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,1,0.024667463141183059,129,,
3407,GEARS,1,0.024241020095845063,,1289,4826
3408,scGPT,1,0.024601466891666254,129,,
3408,GEARS,10,0.024159385636448861,,1289,4826
3409,scGPT,3,0.024545423127710818,129,,
3409,GEARS,16,0.024093531693021458,,1289,4826
