culture_condition,stratum,n_tasks,all_finite,n_levels,std,passed
Rest,all_200,200,True,200,1.1932690456691935,True
Rest,seen_160,160,True,160,1.1815348212092738,True
Stim8hr,all_200,200,True,199,1.1750381644115746,True
Stim8hr,seen_160,160,True,159,1.1619846027874192,True
Stim48hr,all_200,200,True,200,1.1807629916259483,True
Stim48hr,seen_160,160,True,160,1.1705935365622491,True
