outcome,model_spec,population,n_targets,n_tasks,targets_all_states_covered,target_simultaneous_coverage,exact_binomial_ci95_lower,exact_binomial_ci95_upper,task_marginal_coverage,mean_upper,median_upper,mean_interval_width_above_lower,selected_primary_model
ensemble_rmse,state_stratum_constant,ALL_640,640,1920,579,0.90468749999999998,0.8792516729468105,0.92630845505933879,0.9526041666666667,0.20407735641889169,0.20791707649852575,0.20407735641889169,False
ensemble_rmse,state_stratum_constant,SEEN_512,512,1536,466,0.91015625,0.88198015507721428,0.93347242393580976,0.953125,0.20491498291073382,0.21001114272813104,0.20491498291073382,False
ensemble_rmse,state_stratum_constant,COLUMN_UNSEEN_128,128,384,113,0.8828125,0.81409109830807247,0.93290591811812207,0.95052083333333337,0.20072685045152325,0.20582301026892041,0.20072685045152325,False
ensemble_rmse,state_stratum_constant,H01,160,480,145,0.90625,0.85008981734505773,0.94657487799002493,0.95416666666666672,0.14672923287731329,0.14725429104487078,0.14672923287731329,False
ensemble_rmse,state_stratum_constant,H02,160,480,144,0.90000000000000002,0.84268826419234755,0.94175331235644621,0.9458333333333333,0.18390192502812994,0.18442698319568746,0.18390192502812994,False
ensemble_rmse,state_stratum_constant,H03,160,480,142,0.88749999999999996,0.82803752883211679,0.93194634553649791,0.94374999999999998,0.23413253912016324,0.23465759728772073,0.23413253912016324,False
ensemble_rmse,state_stratum_constant,H04,160,480,148,0.92500000000000004,0.87265530631543253,0.96064727329394595,0.96666666666666667,0.25154572864996033,0.25207078681751782,0.25154572864996033,False
ensemble_rmse,magnitude,ALL_640,640,1920,578,0.90312499999999996,0.87753216812733259,0.92491883364219063,0.95052083333333337,0.20258792863793673,0.22031534688312435,0.20258792863793673,True
ensemble_rmse,magnitude,SEEN_512,512,1536,465,0.908203125,0.87980057827865021,0.9317710855859781,0.95052083333333337,0.20305720219008006,0.22032818646363661,0.20305720219008006,True
ensemble_rmse,magnitude,COLUMN_UNSEEN_128,128,384,113,0.8828125,0.81409109830807247,0.93290591811812207,0.95052083333333337,0.20071083442936347,0.20552705757443829,0.20071083442936347,True
ensemble_rmse,magnitude,H01,160,480,146,0.91249999999999998,0.85754788259174308,0.95133527198139078,0.95625000000000004,0.14716591018993461,0.14694805792197585,0.14716591018993461,True
ensemble_rmse,magnitude,H02,160,480,142,0.88749999999999996,0.82803752883211679,0.93194634553649791,0.9375,0.1793661433413124,0.1788179261028108,0.1793661433413124,True
ensemble_rmse,magnitude,H03,160,480,142,0.88749999999999996,0.82803752883211679,0.93194634553649791,0.94166666666666665,0.23393737185557259,0.23345109212066795,0.23393737185557259,True
ensemble_rmse,magnitude,H04,160,480,148,0.92500000000000004,0.87265530631543253,0.96064727329394595,0.96666666666666667,0.24988228916492741,0.2495206290387772,0.24988228916492741,True
ensemble_rmse,magnitude_plus_pair_lower,ALL_640,640,1920,579,0.90468749999999998,0.8792516729468105,0.92630845505933879,0.95156249999999998,0.20273400151244161,0.22102526209653256,0.20273400151244161,False
ensemble_rmse,magnitude_plus_pair_lower,SEEN_512,512,1536,465,0.908203125,0.87980057827865021,0.9317710855859781,0.951171875,0.20315116137662229,0.22124544722643535,0.20315116137662229,False
ensemble_rmse,magnitude_plus_pair_lower,COLUMN_UNSEEN_128,128,384,114,0.890625,0.82329941186530387,0.93889863211000424,0.953125,0.20106536205571904,0.20584782845140204,0.20106536205571904,False
ensemble_rmse,magnitude_plus_pair_lower,H01,160,480,147,0.91874999999999996,0.86506766117742406,0.95602846957009358,0.95833333333333337,0.14722951716067403,0.14706390350112444,0.14722951716067403,False
ensemble_rmse,magnitude_plus_pair_lower,H02,160,480,142,0.88749999999999996,0.82803752883211679,0.93194634553649791,0.9375,0.17901649155012869,0.17851560385504195,0.17901649155012869,False
ensemble_rmse,magnitude_plus_pair_lower,H03,160,480,142,0.88749999999999996,0.82803752883211679,0.93194634553649791,0.94374999999999998,0.23448267190101341,0.23399274351091881,0.23448267190101341,False
ensemble_rmse,magnitude_plus_pair_lower,H04,160,480,148,0.92500000000000004,0.87265530631543253,0.96064727329394595,0.96666666666666667,0.25020732543795038,0.24985085348451974,0.25020732543795038,False
pair_mean_rmse,state_stratum_constant,ALL_640,640,1920,579,0.90468749999999998,0.8792516729468105,0.92630845505933879,0.9526041666666667,0.20461788713999476,0.20841174194518605,0.18963537822068371,False
pair_mean_rmse,state_stratum_constant,SEEN_512,512,1536,466,0.91015625,0.88198015507721428,0.93347242393580976,0.953125,0.20554967169236293,0.21074120332610641,0.19043800793087426,False
pair_mean_rmse,state_stratum_constant,COLUMN_UNSEEN_128,128,384,113,0.8828125,0.81409109830807247,0.93290591811812207,0.95052083333333337,0.20089074893052219,0.2060822805642657,0.18642485937992162,False
pair_mean_rmse,state_stratum_constant,H01,160,480,145,0.90625,0.85008981734505773,0.94657487799002493,0.95416666666666672,0.14742033076435429,0.14799432074246988,0.13084636152508203,False
pair_mean_rmse,state_stratum_constant,H02,160,480,144,0.90000000000000002,0.84268826419234755,0.94175331235644621,0.9458333333333333,0.18512008127775445,0.18569407125587006,0.16801734884324968,False
pair_mean_rmse,state_stratum_constant,H03,160,480,142,0.88749999999999996,0.82803752883211679,0.93194634553649791,0.94374999999999998,0.23414096169546952,0.23471495167358514,0.22273616837848215,False
pair_mean_rmse,state_stratum_constant,H04,160,480,148,0.92500000000000004,0.87265530631543253,0.96064727329394595,0.96666666666666667,0.2517901748224009,0.25236416480051649,0.23694163413592104,False
pair_mean_rmse,magnitude,ALL_640,640,1920,578,0.90312499999999996,0.87753216812733259,0.92491883364219063,0.95052083333333337,0.20288570220712135,0.22273978958785898,0.18790319328781024,True
pair_mean_rmse,magnitude,SEEN_512,512,1536,465,0.908203125,0.87980057827865021,0.9317710855859781,0.95052083333333337,0.20338909713208719,0.22273978958785898,0.18827743337059852,True
pair_mean_rmse,magnitude,COLUMN_UNSEEN_128,128,384,113,0.8828125,0.81409109830807247,0.93290591811812207,0.95052083333333337,0.20087212250725786,0.20573809147045372,0.18640623295665729,True
pair_mean_rmse,magnitude,H01,160,480,146,0.91249999999999998,0.85754788259174308,0.95133527198139078,0.95625000000000004,0.14792818073944014,0.14777673851540268,0.13135421150016791,True
pair_mean_rmse,magnitude,H02,160,480,142,0.88749999999999996,0.82803752883211679,0.93194634553649791,0.9375,0.17984502679228545,0.17920562443805571,0.16274229435778065,True
pair_mean_rmse,magnitude,H03,160,480,142,0.88749999999999996,0.82803752883211679,0.93194634553649791,0.94166666666666665,0.23391398473194247,0.23329942121787092,0.22250919141495509,True
pair_mean_rmse,magnitude,H04,160,480,148,0.92500000000000004,0.87265530631543253,0.96064727329394595,0.96666666666666667,0.24985561656481731,0.24933520436944714,0.23500707587833744,True
pair_mean_rmse,magnitude_plus_pair_lower,ALL_640,640,1920,579,0.90468749999999998,0.8792516729468105,0.92630845505933879,0.95104166666666667,0.20310437809583143,0.22386140464813298,0.18812186917652032,False
pair_mean_rmse,magnitude_plus_pair_lower,SEEN_512,512,1536,465,0.908203125,0.87980057827865021,0.9317710855859781,0.95052083333333337,0.20352975711902346,0.22411295906346337,0.18841809335753476,False
pair_mean_rmse,magnitude_plus_pair_lower,COLUMN_UNSEEN_128,128,384,114,0.890625,0.82329941186530387,0.93889863211000424,0.953125,0.20140286200306334,0.2061861668261955,0.18693697245246277,False
pair_mean_rmse,magnitude_plus_pair_lower,H01,160,480,147,0.91874999999999996,0.86506766117742406,0.95602846957009358,0.95833333333333337,0.14802340246285559,0.14785578432324431,0.13144943322358332,False
pair_mean_rmse,magnitude_plus_pair_lower,H02,160,480,142,0.88749999999999996,0.82803752883211679,0.93194634553649791,0.9375,0.17932158658180611,0.17865882537427333,0.16221885414730128,False
pair_mean_rmse,magnitude_plus_pair_lower,H03,160,480,142,0.88749999999999996,0.82803752883211679,0.93194634553649791,0.94166666666666665,0.23473031680218204,0.23410896705823375,0.22332552348519463,False
pair_mean_rmse,magnitude_plus_pair_lower,H04,160,480,148,0.92500000000000004,0.87265530631543253,0.96064727329394595,0.96666666666666667,0.25034220653648198,0.24986126902624292,0.23549366585000212,False
