panel_id,culture_condition,outcome,score_name,n_tasks,spearman
H01,Rest,ensemble_rmse,fixed_safeconf,160,0.034302121176608455
H01,Rest,ensemble_rmse,magnitude,160,0.0033809914449783197
H01,Rest,ensemble_rmse,disagreement_pair_lower,160,0.034073596624868155
H01,Rest,pair_mean_rmse,fixed_safeconf,160,0.049024375952185638
H01,Rest,pair_mean_rmse,magnitude,160,0.022934489628501115
H01,Rest,pair_mean_rmse,disagreement_pair_lower,160,0.053811672330950432
H01,Rest,pair_max_rmse,fixed_safeconf,160,0.056410406656510016
H01,Rest,pair_max_rmse,magnitude,160,0.042839564045470527
H01,Rest,pair_max_rmse,disagreement_pair_lower,160,0.074021446150240242
H01,Stim8hr,ensemble_rmse,fixed_safeconf,160,-0.044427516699871092
H01,Stim8hr,ensemble_rmse,magnitude,160,-0.046021328958162425
H01,Stim8hr,ensemble_rmse,disagreement_pair_lower,160,-0.029781436774874017
H01,Stim8hr,pair_mean_rmse,fixed_safeconf,160,-0.033601898511660608
H01,Stim8hr,pair_mean_rmse,magnitude,160,-0.028835110746513536
H01,Stim8hr,pair_mean_rmse,disagreement_pair_lower,160,-0.012577639751552794
H01,Stim8hr,pair_max_rmse,fixed_safeconf,160,-0.0049367162779796079
H01,Stim8hr,pair_max_rmse,magnitude,160,-0.0008672213758349936
H01,Stim8hr,pair_max_rmse,disagreement_pair_lower,160,0.017435251377006911
H01,Stim48hr,ensemble_rmse,fixed_safeconf,160,0.030827376069377712
H01,Stim48hr,ensemble_rmse,magnitude,160,0.016052384858783547
H01,Stim48hr,ensemble_rmse,disagreement_pair_lower,160,0.032837220203914212
H01,Stim48hr,pair_mean_rmse,fixed_safeconf,160,0.046566272120004686
H01,Stim48hr,pair_mean_rmse,magnitude,160,0.040598265557248332
H01,Stim48hr,pair_mean_rmse,disagreement_pair_lower,160,0.057878237431149657
H01,Stim48hr,pair_max_rmse,fixed_safeconf,160,0.07330071487167468
H01,Stim48hr,pair_max_rmse,magnitude,160,0.0803966951834056
H01,Stim48hr,pair_max_rmse,disagreement_pair_lower,160,0.098139575764678313
H02,Rest,ensemble_rmse,fixed_safeconf,160,0.064947849525372095
H02,Rest,ensemble_rmse,magnitude,160,0.075169928512832523
H02,Rest,ensemble_rmse,disagreement_pair_lower,160,0.005742411812961444
H02,Rest,pair_mean_rmse,fixed_safeconf,160,0.07739071838743701
H02,Rest,pair_mean_rmse,magnitude,160,0.086959451541075816
H02,Rest,pair_mean_rmse,disagreement_pair_lower,160,0.020965662721200044
H02,Rest,pair_max_rmse,fixed_safeconf,160,0.092578811672330952
H02,Rest,pair_max_rmse,magnitude,160,0.11441755537325678
H02,Rest,pair_max_rmse,disagreement_pair_lower,160,0.048400328137817882
H02,Stim8hr,ensemble_rmse,fixed_safeconf,160,0.16276807687800304
H02,Stim8hr,ensemble_rmse,magnitude,160,0.19180241415680299
H02,Stim8hr,ensemble_rmse,disagreement_pair_lower,160,0.16910523848587836
H02,Stim8hr,pair_mean_rmse,fixed_safeconf,160,0.17266787765147076
H02,Stim8hr,pair_mean_rmse,magnitude,160,0.20331946560412514
H02,Stim8hr,pair_mean_rmse,disagreement_pair_lower,160,0.18259697644439235
H02,Stim8hr,pair_max_rmse,fixed_safeconf,160,0.19511894995898277
H02,Stim8hr,pair_max_rmse,magnitude,160,0.22958806984647837
H02,Stim8hr,pair_max_rmse,disagreement_pair_lower,160,0.21037442868862063
H02,Stim48hr,ensemble_rmse,fixed_safeconf,160,0.19384448611273877
H02,Stim48hr,ensemble_rmse,magnitude,160,0.22259756240478146
H02,Stim48hr,ensemble_rmse,disagreement_pair_lower,160,0.14447439353099731
H02,Stim48hr,pair_mean_rmse,fixed_safeconf,160,0.20366225243173561
H02,Stim48hr,pair_mean_rmse,magnitude,160,0.23534220086722138
H02,Stim48hr,pair_mean_rmse,disagreement_pair_lower,160,0.1582005156451424
H02,Stim48hr,pair_max_rmse,fixed_safeconf,160,0.22050568381577407
H02,Stim48hr,pair_max_rmse,magnitude,160,0.25372670807453418
H02,Stim48hr,pair_max_rmse,disagreement_pair_lower,160,0.17777745224422828
H03,Rest,ensemble_rmse,fixed_safeconf,160,-0.01317238954646666
H03,Rest,ensemble_rmse,magnitude,160,0.0099730458221024259
H03,Rest,ensemble_rmse,disagreement_pair_lower,160,-0.017241884448611272
H03,Rest,pair_mean_rmse,fixed_safeconf,160,-0.0095247861244579877
H03,Rest,pair_mean_rmse,magnitude,160,0.013272002812609868
H03,Rest,pair_mean_rmse,disagreement_pair_lower,160,-0.012070784015000587
H03,Rest,pair_max_rmse,fixed_safeconf,160,-0.00034571662955584206
H03,Rest,pair_max_rmse,magnitude,160,0.026769600375014649
H03,Rest,pair_max_rmse,disagreement_pair_lower,160,0.00063869682409469115
H03,Stim8hr,ensemble_rmse,fixed_safeconf,160,0.046273291925465844
H03,Stim8hr,ensemble_rmse,magnitude,160,0.054242353216922536
H03,Stim8hr,ensemble_rmse,disagreement_pair_lower,160,0.0041749677721786005
H03,Stim8hr,pair_mean_rmse,fixed_safeconf,160,0.050638696824094685
H03,Stim8hr,pair_mean_rmse,magnitude,160,0.059513066916676433
H03,Stim8hr,pair_mean_rmse,disagreement_pair_lower,160,0.010031641861010196
H03,Stim8hr,pair_max_rmse,fixed_safeconf,160,0.059741591468416733
H03,Stim8hr,pair_max_rmse,magnitude,160,0.0739569905074417
H03,Stim8hr,pair_max_rmse,disagreement_pair_lower,160,0.021425641626626038
H03,Stim48hr,ensemble_rmse,fixed_safeconf,160,0.029336106879174966
H03,Stim48hr,ensemble_rmse,magnitude,160,0.071856322512598145
H03,Stim48hr,ensemble_rmse,disagreement_pair_lower,160,-0.0060969178483534512
H03,Stim48hr,pair_mean_rmse,fixed_safeconf,160,0.031902613383335283
H03,Stim48hr,pair_mean_rmse,magnitude,160,0.07478612445798663
H03,Stim48hr,pair_mean_rmse,disagreement_pair_lower,160,-0.0022881753193484122
H03,Stim48hr,pair_max_rmse,fixed_safeconf,160,0.037393062228993315
H03,Stim48hr,pair_max_rmse,magnitude,160,0.083587249501933664
H03,Stim48hr,pair_max_rmse,disagreement_pair_lower,160,0.0059094105238485881
H04,Rest,ensemble_rmse,fixed_safeconf,160,0.097149302707137009
H04,Rest,ensemble_rmse,magnitude,160,0.050603539200750031
H04,Rest,ensemble_rmse,disagreement_pair_lower,160,0.051163131372319225
H04,Rest,pair_mean_rmse,fixed_safeconf,160,0.10919957810851987
H04,Rest,pair_mean_rmse,magnitude,160,0.066348294855267789
