population,n_targets,n_tasks,pair_mean_bound_violations,pair_max_bound_violations,decomposition_max_abs_residual,median_bound_tightness_pair_mean,mean_bound_tightness_pair_mean,median_pair_lower_bound_rmse,p90_pair_lower_bound_rmse
ALL_640,640,1920,0,0,9.8090941619277672e-11,0.15176732739761847,0.15809114266255733,0.01507314010487526,0.018627644730697855
H01,160,480,0,0,6.8353891991002058e-11,0.20529929933579144,0.20583462526306839,0.016512862535791765,0.01886654013738244
H02,160,480,0,0,9.8090941619277672e-11,0.18691801640895561,0.18767697955795926,0.016452937398132361,0.019926229465088856
H03,160,480,0,0,9.5980057235323102e-11,0.099199748563083778,0.10196354274037395,0.0108540144246839,0.01383269977259075
H04,160,480,0,0,7.5269804278299546e-11,0.13705820595603774,0.13688942308882759,0.014357796620628218,0.017545332377139872
