panel_id,culture_condition,outcome,score_name,n_tasks,aurc_tie_average,aurc_best_legal_tie_order,aurc_worst_legal_tie_order
H01,Rest,ensemble_rmse,fixed_safeconf,160,0.088175866023315633,0.088175866023315633,0.088175866023315633
H01,Rest,ensemble_rmse,magnitude,160,0.088084901079749575,0.088032964673921993,0.088136837485577144
H01,Rest,ensemble_rmse,disagreement_pair_lower,160,0.087700080284834614,0.087700080284834614,0.087700080284834614
H01,Rest,pair_mean_rmse,fixed_safeconf,160,0.089632464974487389,0.089632464974487389,0.089632464974487389
H01,Rest,pair_mean_rmse,magnitude,160,0.089490675281463053,0.089439309255603949,0.089542041307322198
H01,Rest,pair_mean_rmse,disagreement_pair_lower,160,0.08911056723333495,0.08911056723333495,0.08911056723333495
H01,Rest,pair_max_rmse,fixed_safeconf,160,0.092841628927189751,0.092841628927189751,0.092841628927189751
H01,Rest,pair_max_rmse,magnitude,160,0.09261040518804306,0.092559009295354502,0.092661801080731604
H01,Rest,pair_max_rmse,disagreement_pair_lower,160,0.092212896617092574,0.092212896617092574,0.092212896617092574
H01,Stim8hr,ensemble_rmse,fixed_safeconf,160,0.090607156366093067,0.090601936952301107,0.09061237577988504
H01,Stim8hr,ensemble_rmse,magnitude,160,0.089968641866349605,0.089968641866349605,0.089968641866349605
H01,Stim8hr,ensemble_rmse,disagreement_pair_lower,160,0.090119525346268547,0.090119525346268547,0.090119525346268547
H01,Stim8hr,pair_mean_rmse,fixed_safeconf,160,0.091967913435136966,0.091962751605028994,0.091973075265244952
H01,Stim8hr,pair_mean_rmse,magnitude,160,0.091277475333894867,0.091277475333894867,0.091277475333894867
H01,Stim8hr,pair_mean_rmse,disagreement_pair_lower,160,0.091428027155343206,0.091428027155343206,0.091428027155343206
H01,Stim8hr,pair_max_rmse,fixed_safeconf,160,0.095237651726079342,0.095233041349636713,0.095242262102521971
H01,Stim8hr,pair_max_rmse,magnitude,160,0.094574407097662322,0.094574407097662322,0.094574407097662322
H01,Stim8hr,pair_max_rmse,disagreement_pair_lower,160,0.094689296677318499,0.094689296677318499,0.094689296677318499
H01,Stim48hr,ensemble_rmse,fixed_safeconf,160,0.076099150539882518,0.076099150539882518,0.076099150539882518
H01,Stim48hr,ensemble_rmse,magnitude,160,0.075503643479441315,0.075503643479441315,0.075503643479441315
H01,Stim48hr,ensemble_rmse,disagreement_pair_lower,160,0.075394300602383418,0.075394300602383418,0.075394300602383418
H01,Stim48hr,pair_mean_rmse,fixed_safeconf,160,0.077732488156688401,0.077732488156688401,0.077732488156688401
H01,Stim48hr,pair_mean_rmse,magnitude,160,0.077085579043689817,0.077085579043689817,0.077085579043689817
H01,Stim48hr,pair_mean_rmse,disagreement_pair_lower,160,0.076974339543805337,0.076974339543805337,0.076974339543805337
H01,Stim48hr,pair_max_rmse,fixed_safeconf,160,0.080623147414368185,0.080623147414368185,0.080623147414368185
H01,Stim48hr,pair_max_rmse,magnitude,160,0.079866898178583209,0.079866898178583209,0.079866898178583209
H01,Stim48hr,pair_max_rmse,disagreement_pair_lower,160,0.079747865836069909,0.079747865836069909,0.079747865836069909
H02,Rest,ensemble_rmse,fixed_safeconf,160,0.10112018612928445,0.10112018612928445,0.10112018612928445
H02,Rest,ensemble_rmse,magnitude,160,0.099221559245616681,0.099221559245616681,0.099221559245616681
H02,Rest,ensemble_rmse,disagreement_pair_lower,160,0.10142822991589626,0.10142822991589626,0.10142822991589626
H02,Rest,pair_mean_rmse,fixed_safeconf,160,0.10265814118768586,0.10265814118768586,0.10265814118768586
H02,Rest,pair_mean_rmse,magnitude,160,0.10077437663508877,0.10077437663508877,0.10077437663508877
H02,Rest,pair_mean_rmse,disagreement_pair_lower,160,0.10288184410002947,0.10288184410002947,0.10288184410002947
H02,Rest,pair_max_rmse,fixed_safeconf,160,0.10430972542363012,0.10430972542363012,0.10430972542363012
H02,Rest,pair_max_rmse,magnitude,160,0.10226169974305695,0.10226169974305695,0.10226169974305695
