tau,n_tasks,n_true_high,n_certified_high,n_certified_true_high,n_false_certificates,certified_high_coverage,certified_high_recall,certified_high_precision
0.01,224,224,224,224,0,1.0,1.0,1.0
0.015,224,224,224,224,0,1.0,1.0,1.0
0.02,224,224,224,224,0,1.0,1.0,1.0
0.025,224,224,224,224,0,1.0,1.0,1.0
0.03,224,224,224,224,0,1.0,1.0,1.0
0.04,224,224,224,224,0,1.0,1.0,1.0
0.05,224,224,224,224,0,1.0,1.0,1.0
0.06,224,224,224,224,0,1.0,1.0,1.0
0.07,224,224,224,224,0,1.0,1.0,1.0
0.08,224,224,224,224,0,1.0,1.0,1.0
0.1,224,224,224,224,0,1.0,1.0,1.0
0.15,224,224,224,224,0,1.0,1.0,1.0
0.2,224,224,142,142,0,0.6339285714285714,0.6339285714285714,1.0
0.3,224,224,0,0,0,0.0,0.0,
