cell_type,treatment,n_tasks,center_family_disagreement,center_model_source_gap,center_source_delta_dispersion,center_negative_log_source_cells,center_support_context_deficit,scale_family_disagreement,scale_model_source_gap,scale_source_delta_dispersion,scale_negative_log_source_cells,scale_support_context_deficit
hap1,IFNG,21,0.009005896083600255,0.16909743885560544,0.047988663185373995,-4.02396482582307,24.238095238095237,1.1244669711432335e-07,0.0030459631935548276,0.0053050945634806395,0.7456025642833931,4.42831540478578
hap1,INS,16,0.009006118903804462,0.16739214873827415,0.04424945093222547,-3.776835491915975,25.75,1.5320090671566886e-07,0.0037111130585524158,0.005130747549197543,0.53849924494406,2.7271780286589284
hap1,TGFB,19,0.009006567752438679,0.16823458547681663,0.04572464568248448,-4.157094999682885,23.42105263157895,6.5797750994062e-08,0.002052449498825468,0.006127867859447568,0.7958754271070747,5.008579896155924
ht29,IFNG,21,0.009005826650364522,0.14018001802298308,0.047988663185373995,-4.02396482582307,24.238095238095237,9.075709180207348e-08,0.003972597939272826,0.0053050945634806395,0.7456025642833931,4.42831540478578
ht29,INS,16,0.009006044533340477,0.13537414348592328,0.04424945093222547,-3.776835491915975,25.75,1.561730916869969e-07,0.003332524344157019,0.005130747549197543,0.53849924494406,2.7271780286589284
ht29,TGFB,19,0.009006616989103733,0.13665624312452693,0.04572464568248448,-4.157094999682885,23.42105263157895,1.0138271019407033e-07,0.0029667584033396615,0.006127867859447568,0.7958754271070747,5.008579896155924
k562,IFNG,21,0.009005947963354093,0.1819706085453267,0.047988663185373995,-4.02396482582307,24.238095238095237,1.1163708532610031e-07,0.002706286936548075,0.0053050945634806395,0.7456025642833931,4.42831540478578
k562,INS,16,0.00900604295922692,0.17186912276047447,0.04424945093222547,-3.776835491915975,25.75,1.2805275387043614e-07,0.004014616438750722,0.005130747549197543,0.53849924494406,2.7271780286589284
k562,TGFB,19,0.009006403598296346,0.17021327234568187,0.04572464568248448,-4.157094999682885,23.42105263157895,1.141752729989088e-07,0.0023781287617832725,0.006127867859447568,0.7958754271070747,5.008579896155924
mcf7,IFNG,21,0.009005845788004624,0.17949314841317582,0.047988663185373995,-4.02396482582307,24.238095238095237,1.1544228691896415e-07,0.00283875307512893,0.0053050945634806395,0.7456025642833931,4.42831540478578
mcf7,INS,16,0.009006040268228165,0.18702769118659524,0.04424945093222547,-3.776835491915975,25.75,1.2595740905061786e-07,0.002420596943156966,0.005130747549197543,0.53849924494406,2.7271780286589284
mcf7,TGFB,19,0.009006304986153114,0.1730541796156012,0.04572464568248448,-4.157094999682885,23.42105263157895,1.234476098081896e-07,0.0017248885654273423,0.006127867859447568,0.7958754271070747,5.008579896155924
