cell_type,treatment,n_tasks,safeconf_m_spearman,magnitude_spearman,delta_spearman
hap1,IFNG,21,-0.10068204493335388,-0.20519480519480518,0.1045127602614513
hap1,INS,16,0.21518107116515495,0.2588235294117647,-0.04364245824660973
hap1,TGFB,19,-0.2960037703065183,-0.3017543859649123,0.005750615658393965
ht29,IFNG,21,0.1,0.08961038961038961,0.010389610389610393
ht29,INS,16,-0.0265096016510636,0.055882352941176466,-0.08239195459224007
ht29,TGFB,19,0.2853381257754175,0.27017543859649124,0.01516268717892627
k562,IFNG,21,-0.170834695596594,-0.20909090909090908,0.03825621349431507
k562,INS,16,-0.09565859837710479,-0.08529411764705883,-0.010364480730045963
k562,TGFB,19,-0.26491228070175443,-0.3333333333333333,0.06842105263157888
mcf7,IFNG,21,0.07217171251717905,0.023376623376623374,0.04879508914055568
mcf7,INS,16,-0.23399564833784092,-0.15588235294117647,-0.07811329539666445
mcf7,TGFB,19,-0.02546094045380648,0.03684210526315789,-0.06230304571696437
