score_name,top_fraction,n_records,aligned_rho,precision,random_expected_precision,enrichment
safeconf_full,0.05,16114,0.39893325695776743,0.4739454094292804,0.050018617351371475,9.475380058986879
safeconf_full,0.1,16114,0.39893325695776743,0.4882133995037221,0.10003723470274295,4.880316823575049
safeconf_full,0.2,16114,0.39893325695776743,0.48464163822525597,0.20001241156758098,2.4230578213967653
predicted_magnitude,0.05,16114,0.48537558737895586,0.7245657568238213,0.050018617351371475,14.485921346723396
predicted_magnitude,0.1,16114,0.48537558737895586,0.6488833746898263,0.10003723470274295,6.486418548233164
predicted_magnitude,0.2,16114,0.48537558737895586,0.5851690971144896,0.20001241156758098,2.925663925194814
combined_equal,0.05,16114,0.48905054450250407,0.5744416873449132,0.050018617351371475,11.484557506049542
combined_equal,0.1,16114,0.48905054450250407,0.5732009925558312,0.10003723470274295,5.729876423104631
combined_equal,0.2,16114,0.48905054450250407,0.5609680421967111,0.20001241156758098,2.804666159465654
combined_magnitude75,0.05,16114,0.503299428530534,0.6464019851116626,0.050018617351371475,12.92322777678577
combined_magnitude75,0.1,16114,0.503299428530534,0.6265508684863523,0.10003723470274295,6.263176609670646
combined_magnitude75,0.2,16114,0.503299428530534,0.5842382873099596,0.20001241156758098,2.9210101649744615
combined_safeconf75,0.05,16114,0.45279841310680846,0.5421836228287841,0.050018617351371475,10.839636350202268
combined_safeconf75,0.1,16114,0.45279841310680846,0.5241935483870968,0.10003723470274295,5.239984391259105
combined_safeconf75,0.2,16114,0.45279841310680846,0.5187713310580204,0.20001241156758098,2.593695696143016
