metric,delta_disagreement_minus_magnitude,ci95_low,ci95_high,probability_delta_positive,n_bootstrap
spearman,-0.03127029536372872,-0.051069309108051957,-0.006032945219917382,0.0018,10000
top20_error_enrichment,-0.003913659907740286,-0.008498846049819805,0.006876103296156226,0.309,10000
top20_total_error_capture,-0.0008815521511889024,-0.0018941012160601884,0.0014519774309793287,0.2985,10000
