experiment,strict_issue_count,target_truth_used_for_scores,contract_pass
E84_cpa_rdkit_cartesian_formal,0,False,True
E87_sciplex_to_openproblems_cpa,0,False,True
E89_sciplex3_to_sciplex4_cpa,0,False,True
