dataset_name,record_id,n_rows,artifact_classes,source_csvs,rmse_min,rmse_max,rmse_range
adamson,GEARS::adamson::seed1::single::TIMM23+ctrl,2,formal_adamson_dixit_norman;smoke,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_formal/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_smoke/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.040649376809597,0.0602439567446708,0.019594579935073797
adamson,GEARS::adamson::seed2::single::FECH+ctrl,2,formal_adamson_dixit_norman;smoke,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_formal/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_uncertainty_smoke/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0368939973413944,0.0448727272450923,0.007978729903697905
adamson,GEARS::adamson::seed1::single::CCND3+ctrl,2,formal_adamson_dixit_norman;smoke,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_formal/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_smoke/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0424558073282241,0.0498433001339435,0.007387492805719403
frangieh,GEARS::frangieh::seed1::single::FSTL3+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0252401735633611,0.0307677816599607,0.005527608096599603
adamson,GEARS::adamson::seed1::single::YIPF5+ctrl,2,formal_adamson_dixit_norman;smoke,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_formal/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_smoke/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0273095723241567,0.0326527506113052,0.005343178287148503
frangieh,GEARS::frangieh::seed1::single::GSN+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0266513843089342,0.0319030731916427,0.0052516888827084975
frangieh,GEARS::frangieh::seed1::single::KDR+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.027250088751316,0.0324943512678146,0.0052442625164986
frangieh,GEARS::frangieh::seed1::single::PSAP+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0254378020763397,0.0305460002273321,0.0051081981509924
adamson,GEARS::adamson::seed2::single::COPB1+ctrl,2,formal_adamson_dixit_norman;smoke,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_formal/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_uncertainty_smoke/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0413501039147377,0.0464407429099082,0.005090638995170496
frangieh,GEARS::frangieh::seed1::single::SPESP1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0266698375344276,0.0316908024251461,0.005020964890718502
frangieh,GEARS::frangieh::seed1::single::RB1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0273691080510616,0.0323641672730445,0.004995059221982904
frangieh,GEARS::frangieh::seed1::single::SCARB2+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0287495255470275,0.0336692966520786,0.0049197711050511
adamson,GEARS::adamson::seed2::single::PDIA6+ctrl,2,formal_adamson_dixit_norman;smoke,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_formal/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_confidence_eval_uncertainty_smoke/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.029398325830698,0.0342201218008995,0.004821795970201499
frangieh,GEARS::frangieh::seed1::single::CKS1B+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0301730167120695,0.0349913164973259,0.004818299785256396
frangieh,GEARS::frangieh::seed2::single::FSTL3+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0258893594145774,0.0306529141962528,0.004763554781675398
frangieh,GEARS::frangieh::seed2::single::LCP1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0265201330184936,0.0311819817870855,0.004661848768591898
frangieh,GEARS::frangieh::seed2::single::CTSO+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0268897805362939,0.0315341465175151,0.004644365981221199
frangieh,GEARS::frangieh::seed1::single::PIK3IP1+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0298652332276105,0.0344920270144939,0.004626793786883399
frangieh,GEARS::frangieh::seed2::single::CD274+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0261492151767015,0.0307239759713411,0.004574760794639598
frangieh,GEARS::frangieh::seed2::single::SLC22A18+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0259524434804916,0.0304981172084808,0.0045456737279892
frangieh,GEARS::frangieh::seed1::single::FRZB+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0309658013284206,0.035505436360836,0.0045396350324154
frangieh,GEARS::frangieh::seed2::single::APOE+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0267256647348403,0.0312539115548133,0.004528246819973002
frangieh,GEARS::frangieh::seed1::single::PPIA+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0305998157709836,0.0350970067083835,0.004497190937399899
frangieh,GEARS::frangieh::seed2::single::WBP2+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0282009337097406,0.032621294260025,0.004420360550284396
frangieh,GEARS::frangieh::seed1::single::TIMP2+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0334269441664218,0.0378088951110839,0.004381950944662101
frangieh,GEARS::frangieh::seed1::single::CD58+ctrl,2,formal_frangieh;run03_frangieh_probe,/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/gears_frangieh_formal_eval_20260606/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv;/home/yyf/proj/code/20260426_154505_perturb_transport_final_push/outputs/run03_gears_third_predictor_eval_20260607/tables/GEARS_PREDICTION_RECORDS_COMBINED.csv,0.0300779715180397,0.0344515033066272,0.004373531788587497
