dataset_name,score_name,feature_name,low_risk_median,high_risk_median,high_minus_low
Frangieh,predicted_magnitude,perturbation_support_count,2.0,1.0,-1.0
Frangieh,predicted_magnitude,prediction_abs_mean,0.0157501008361578,0.0324019789695739,0.0166518781334161
Frangieh,predicted_magnitude,prediction_l2_norm,1.696184158325195,3.624417543411255,1.9282333850860598
Frangieh,predicted_magnitude,prediction_magnitude_deviation,0.5138265898906821,0.2471893195811527,-0.2666372703095294
Frangieh,predicted_magnitude,prediction_norm_ratio,0.5982021093639066,1.280421488695178,0.6822193793312713
Frangieh,protocol_v0_2_family_confidence,context_similarity_max,0.9760696874258148,0.9719419428137618,-0.004127744612053008
Frangieh,protocol_v0_2_family_confidence,context_similarity_mean,0.9730816367477532,0.9709023617990902,-0.0021792749486629903
Frangieh,protocol_v0_2_family_confidence,historical_residual_risk,0.0555802561891414,0.0518627570122125,-0.003717499176928901
Frangieh,protocol_v0_2_family_confidence,model_disagreement_cosine,0.0059416549967163,0.0038671268861038,-0.0020745281106125
Frangieh,protocol_v0_2_family_confidence,model_disagreement_rmse,0.0049740122071964,0.006808044503738,0.0018340322965416005
Frangieh,protocol_v0_2_family_confidence,ood_mean_k_distance,0.3041091206988934,0.3047390989178684,0.0006299782189749803
Frangieh,protocol_v0_2_family_confidence,ood_nearest_distance,0.1294216976978196,0.0140290285931193,-0.11539266910470031
Frangieh,protocol_v0_2_family_confidence,perturbation_effect_stability,0.0195116665874461,0.1076156719619087,0.0881040053744626
Frangieh,protocol_v0_2_family_confidence,perturbation_effect_variance,0.0007722912123426,0.0025217474903911,0.0017494562780485
Frangieh,protocol_v0_2_family_confidence,perturbation_support_count,2.0,1.0,-1.0
Frangieh,protocol_v0_2_family_confidence,prediction_abs_mean,0.0174895413219928,0.0250292085111141,0.007539667189121298
Frangieh,protocol_v0_2_family_confidence,prediction_l2_norm,1.873980402946472,2.7011606693267822,0.8271802663803103
Frangieh,protocol_v0_2_family_confidence,prediction_magnitude_deviation,0.4090342806405535,0.2661483734647893,-0.14288590717576422
Frangieh,protocol_v0_2_family_confidence,prediction_norm_ratio,0.664291449595138,0.9498747020259688,0.2855832524308308
Frangieh,safeconf_lodo_risk,context_similarity_max,0.9760696874258148,0.9760696874258148,0.0
Frangieh,safeconf_lodo_risk,context_similarity_mean,0.9730816367477532,0.9729288860971346,-0.00015275065061859383
Frangieh,safeconf_lodo_risk,historical_residual_risk,0.0515620226075196,0.0526694055509615,0.001107382943441898
Frangieh,safeconf_lodo_risk,model_disagreement_cosine,0.0063635193783981,0.0022246332095975,-0.0041388861688006
Frangieh,safeconf_lodo_risk,model_disagreement_rmse,0.005180601849154,0.0077077413709933,0.0025271395218393004
Frangieh,safeconf_lodo_risk,ood_mean_k_distance,0.2982575794856715,0.3115146193634194,0.0132570398777479
Frangieh,safeconf_lodo_risk,ood_nearest_distance,0.1138952099709738,0.0984058351198584,-0.0154893748511154
Frangieh,safeconf_lodo_risk,perturbation_effect_stability,0.0250524819360483,0.0458636364848975,0.020811154548849204
Frangieh,safeconf_lodo_risk,perturbation_effect_variance,0.0006288982112891,0.0014238717267289,0.0007949735154398001
Frangieh,safeconf_lodo_risk,perturbation_support_count,2.0,2.0,0.0
Frangieh,safeconf_lodo_risk,prediction_abs_mean,0.0179340597242116,0.0286976378411054,0.0107635781168938
Frangieh,safeconf_lodo_risk,prediction_l2_norm,1.9292802810668943,3.172095775604248,1.2428154945373537
Frangieh,safeconf_lodo_risk,prediction_magnitude_deviation,0.3789257321520509,0.3392849621957658,-0.03964076995628507
Frangieh,safeconf_lodo_risk,prediction_norm_ratio,0.6845964442836793,1.1209341835367124,0.4363377392530331
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,context_similarity_max,0.9940497190923304,0.9940497190923304,0.0
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,context_similarity_mean,0.8801198919605275,0.8801376690296748,1.77770691472956e-05
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,historical_residual_risk,0.6151766457640477,1.4851298560198556,0.8699532102558079
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,model_disagreement_cosine,0.1745910722334359,0.363801334184448,0.1892102619510121
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,model_disagreement_rmse,0.2216943775580497,0.9077744707220664,0.6860800931640167
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,ood_mean_k_distance,0.1879348629753387,0.18688315275110784,-0.0010517102242308674
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,ood_nearest_distance,0.1598189642470465,0.144086698731428,-0.015732265515618515
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,perturbation_effect_stability,0.2875326028429201,0.406022665608159,0.11849006276523888
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,perturbation_effect_variance,0.22591842710971832,4.7430338859558105,4.517115458846092
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,perturbation_support_count,5.0,5.0,0.0
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,prediction_abs_mean,0.04391056858003135,0.0804967656731605,0.036586197093129144
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,prediction_l2_norm,18.335219383239746,70.03317642211914,51.697957038879395
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,prediction_magnitude_deviation,0.5885321992753201,0.752669916526688,0.16413771725136794
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,prediction_norm_ratio,0.5551415407175255,2.1226639320304193,1.5675223913128937
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,context_similarity_max,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,context_similarity_mean,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,historical_residual_risk,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,model_disagreement_cosine,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,model_disagreement_rmse,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,ood_mean_k_distance,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,ood_nearest_distance,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,perturbation_effect_stability,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,perturbation_effect_variance,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,perturbation_support_count,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,prediction_abs_mean,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,prediction_l2_norm,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,prediction_magnitude_deviation,,,
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,prediction_norm_ratio,,,
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,context_similarity_max,0.9970286464837426,0.9940497190923304,-0.002978927391412145
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,context_similarity_mean,0.8817245317411556,0.8816088730253935,-0.00011565871576213471
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,historical_residual_risk,0.4079349255003104,1.7663423165343712,1.3584073910340608
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,model_disagreement_cosine,0.0023842633788876,0.3513649037708043,0.34898064039191673
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,model_disagreement_rmse,0.0620072115121558,1.0013094512445555,0.9393022397323997
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,ood_mean_k_distance,0.06728413280385515,0.19033093699304354,0.1230468041891884
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,ood_nearest_distance,0.0509664609164597,0.1392771750113206,0.08831071409486088
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,perturbation_effect_stability,0.4535879035319942,0.3828969587900445,-0.0706909447419497
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,perturbation_effect_variance,0.0948499888181686,5.411076068878174,5.316226080060005
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,perturbation_support_count,5.0,4.0,-1.0
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,prediction_abs_mean,0.0520088989287614,0.0779677368700504,0.025958837941289004
