evidence_family,dataset_name,score_or_probe,n,aligned_rho,partial_rho_control_magnitude,aurc_reduction_vs_random_pct,evidence_label,interpretation
corrected_7main_frozen_v0_2,CuiHacohen2023,protocol_v0_2_family_confidence,2506,0.4453758817214197,0.3284789922988475,,core_positive,"Frozen v0.2 baseline; interpretable, but not the learned transfer layer."
corrected_7main_frozen_v0_2,Frangieh,protocol_v0_2_family_confidence,1266,0.582722177199959,0.4738196230565,,core_positive,"Frozen v0.2 baseline; interpretable, but not the learned transfer layer."
corrected_7main_frozen_v0_2,LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,646,0.5631508494546715,0.4429521371521735,,core_positive,"Frozen v0.2 baseline; interpretable, but not the learned transfer layer."
corrected_7main_frozen_v0_2,LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,750,0.394161942326989,0.3567826892883217,,core_positive,"Frozen v0.2 baseline; interpretable, but not the learned transfer layer."
corrected_7main_frozen_v0_2,McFarlandTsherniak2020,protocol_v0_2_family_confidence,2326,-0.0859337995677072,-0.0609239077091037,,failure_boundary,"Frozen v0.2 baseline; interpretable, but not the learned transfer layer."
corrected_7main_frozen_v0_2,SantinhaPlatt2023,protocol_v0_2_family_confidence,546,0.1524099798501164,0.2123867892119082,,weak_positive,"Frozen v0.2 baseline; interpretable, but not the learned transfer layer."
corrected_7main_frozen_v0_2,SrivatsanTrapnell2020_sciplex3,protocol_v0_2_family_confidence,1128,0.4277813904102051,0.6287992527984491,,core_positive,"Frozen v0.2 baseline; interpretable, but not the learned transfer layer."
corrected_reliability_ladder,CuiHacohen2023,predicted_magnitude,2506,0.3915690388071376,0.1291620440598516,21.835634446749147,supportive_positive,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,Frangieh,predicted_magnitude,1266,0.8593654059623044,0.9001781561498481,17.234124209398015,supportive_positive,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,LaraAstiasoHuntly2023_exvivo,predicted_magnitude,646,0.4573124540196879,0.521608734960635,14.138661209198194,supportive_positive,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,LaraAstiasoHuntly2023_invivo,predicted_magnitude,750,0.6208705499039938,0.5739310151105212,34.25147525496969,supportive_positive,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,McFarlandTsherniak2020,predicted_magnitude,2326,0.1373778862616323,-0.1224623161501657,10.953294410419335,not_supported,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,SantinhaPlatt2023,predicted_magnitude,546,0.3522916243141659,0.4686825398022501,11.76336835970575,supportive_positive,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,SrivatsanTrapnell2020_sciplex3,predicted_magnitude,1128,0.5627128793807584,0.7732685216126838,22.909608986725324,supportive_positive,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,CuiHacohen2023,protocol_v0_2_family_confidence,2506,0.4453758817214197,0.4452499608711773,27.05493677590792,core_positive,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,Frangieh,protocol_v0_2_family_confidence,1266,0.582722177199959,0.4738196230565,12.06543165763876,core_positive,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,646,0.5631508494546714,0.5648929477813909,57.66998589449312,core_positive,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,750,0.3941619423269889,0.3942757904842306,30.048837932656543,core_positive,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,McFarlandTsherniak2020,protocol_v0_2_family_confidence,2326,-0.0859337995677072,-0.0807584692391873,-12.544650746192689,failure_boundary,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,SantinhaPlatt2023,protocol_v0_2_family_confidence,546,0.1524099798501164,0.1517550132582926,8.934489337164878,weak_positive,Baseline comparator that should be reported honestly.
corrected_reliability_ladder,SrivatsanTrapnell2020_sciplex3,protocol_v0_2_family_confidence,1128,0.4277813904102051,0.4268695150400821,18.005655358964244,core_positive,Baseline comparator that should be reported honestly.
