shard,row_group,n_rows,selected_samples_present
train-00000-of-03388.parquet,4,1000,smp_1792
train-00000-of-03388.parquet,5,1000,smp_1792
train-00000-of-03388.parquet,7,1000,smp_1799
train-00000-of-03388.parquet,8,1000,smp_1799
train-00000-of-03388.parquet,12,1000,smp_1808
train-00001-of-03388.parquet,1,1000,smp_1851
train-00001-of-03388.parquet,6,1000,smp_1862
train-00001-of-03388.parquet,7,1000,smp_1862;smp_1863
train-00001-of-03388.parquet,10,1000,smp_1869
train-00001-of-03388.parquet,11,1000,smp_1869
train-00001-of-03388.parquet,13,1000,smp_1874
train-00001-of-03388.parquet,14,1000,smp_1874;smp_1875
train-00001-of-03388.parquet,15,1000,smp_1875;smp_1877
train-00001-of-03388.parquet,16,1000,smp_1877;smp_1878
train-00001-of-03388.parquet,21,1000,smp_1792
train-00001-of-03388.parquet,22,1000,smp_1792
train-00001-of-03388.parquet,25,1000,smp_1799
train-00002-of-03388.parquet,1,1000,smp_1808
train-00002-of-03388.parquet,2,1000,smp_1808
train-00002-of-03388.parquet,19,1000,smp_1851
train-00002-of-03388.parquet,20,1000,smp_1851
train-00002-of-03388.parquet,25,1000,smp_1862
train-00002-of-03388.parquet,26,1000,smp_1862;smp_1863
train-00003-of-03388.parquet,1,1000,smp_1869
train-00003-of-03388.parquet,2,1000,smp_1869
train-00003-of-03388.parquet,4,1000,smp_1874
train-00003-of-03388.parquet,5,1000,smp_1874;smp_1875
train-00003-of-03388.parquet,6,1000,smp_1875;smp_1877
train-00003-of-03388.parquet,7,1000,smp_1877;smp_1878
train-00003-of-03388.parquet,12,1000,smp_1792
train-00003-of-03388.parquet,13,1000,smp_1792
train-00003-of-03388.parquet,16,1000,smp_1799
train-00003-of-03388.parquet,17,1000,smp_1799
train-00003-of-03388.parquet,21,1000,smp_1808
train-00004-of-03388.parquet,11,1000,smp_1851
train-00004-of-03388.parquet,12,1000,smp_1851
train-00004-of-03388.parquet,16,1000,smp_1862
train-00004-of-03388.parquet,17,1000,smp_1862;smp_1863
train-00004-of-03388.parquet,18,1000,smp_1863
train-00004-of-03388.parquet,21,1000,smp_1869
train-00004-of-03388.parquet,22,1000,smp_1869
train-00004-of-03388.parquet,24,1000,smp_1874
train-00004-of-03388.parquet,25,1000,smp_1874;smp_1875
train-00004-of-03388.parquet,26,1000,smp_1877
