fold_id,score,spearman,normalized_aurc_50_100,top20_total_error_capture,top20_error_enrichment
Tian_CRISPRi_batch_holdout_1_B1,HighErrorRouter,0.044016999260579254,0.9831418509785179,0.2184563263991233,1.0804731819199882
Tian_CRISPRi_batch_holdout_1_B1,SafeConf,0.1276542416955817,0.986505170060251,0.2128186475176769,1.0525895269117531
Tian_CRISPRi_batch_holdout_1_B1,predicted_magnitude,0.11335403726708078,0.9799529553443571,0.21454231377037675,1.0611146870264578
Tian_CRISPRi_batch_holdout_1_B1,model_disagreement,-0.15539307449499895,0.9894381762458613,0.21264188526962702,1.0517152703876147
Tian_CRISPRi_batch_holdout_2_B2,HighErrorRouter,0.07306906409831578,0.9907313160975858,0.208533591898322,1.0313958734430522
Tian_CRISPRi_batch_holdout_2_B2,SafeConf,0.07437946942579873,0.9843043697382943,0.21066947175713452,1.0419598197717734
Tian_CRISPRi_batch_holdout_2_B2,predicted_magnitude,0.06412475621313826,0.990791185618784,0.2100712452750367,1.0390010239278844
Tian_CRISPRi_batch_holdout_2_B2,model_disagreement,0.06577937386918144,0.9887825307566951,0.21230750200121568,1.0500614288168233
Tian_CRISPRi_batch_holdout_3_B3,HighErrorRouter,0.08651413924419601,0.9899357002370504,0.21595212940896294,1.0680875589686545
Tian_CRISPRi_batch_holdout_3_B3,SafeConf,0.4943938812434893,0.9649879139448233,0.2188109593732931,1.082227177440882
Tian_CRISPRi_batch_holdout_3_B3,predicted_magnitude,0.1335756189640723,0.9860018250534146,0.2125746498646207,1.0513827277087997
Tian_CRISPRi_batch_holdout_3_B3,model_disagreement,0.0004699505768643332,0.9965878539541142,0.20416202625229649,1.0097743460586557
Tian_CRISPRi_batch_holdout_4_B4,HighErrorRouter,-0.02399936786948529,1.0094053831120444,0.2031688728234955,1.004862262883775
Tian_CRISPRi_batch_holdout_4_B4,SafeConf,-0.15956192773726632,1.012583797350274,0.2011009786010637,0.9946345698376935
Tian_CRISPRi_batch_holdout_4_B4,predicted_magnitude,-0.04410094538391047,1.0160548014873698,0.1882329963321048,0.9309902251020318
Tian_CRISPRi_batch_holdout_4_B4,model_disagreement,0.017670141690098926,1.0158288258376136,0.1957312103648044,0.9680759863988975
