panel_id,support,architecture,seed,best_epoch,best_validation_mse,pretrained_tensors,model_key,n_query_predictions,n_unique_vectors_at_1e-6,max_coordinate_std,all_finite,query_graphs_containing_y,n_go_edges,n_coexpression_edges
H04,2,scGPT,3407,7,0.009359753933613714,129.0,scGPT_seed3407,840,840,0.012421575374901295,True,0,,
H04,2,GEARS,3407,4,0.010113924377314423,,GEARS_seed3407,840,825,0.11779645085334778,True,0,1347.0,4365.0
H04,2,scGPT,3408,6,0.009356107461549665,129.0,scGPT_seed3408,840,840,0.010333984158933163,True,0,,
H04,2,GEARS,3408,3,0.010395555756986141,,GEARS_seed3408,840,827,0.06748699396848679,True,0,1347.0,4365.0
H04,2,scGPT,3409,5,0.009353391198522371,129.0,scGPT_seed3409,840,840,0.009624113328754902,True,0,,
H04,2,GEARS,3409,4,0.010433231136235207,,GEARS_seed3409,840,824,0.11875584721565247,True,0,1347.0,4365.0
