culture_condition,stratum,n_tasks,risk_magnitude_operational_weak_order_identical
Rest,all_200,200,False
Rest,seen_160,160,False
Stim8hr,all_200,200,False
Stim8hr,seen_160,160,False
Stim48hr,all_200,200,False
Stim48hr,seen_160,160,False
