panel_id,culture_condition,stratum,ensemble_beats_nochange_fraction,ensemble_error_mean,nochange_error_mean,train_donor_effect_mean_error,n_train_donor_mean_available
Q01,Rest,all_200,0.82499999999999996,0.12008349743280065,0.12272907043658669,0.13526244919468824,160
Q01,Rest,seen_160,0.84375,0.12299000246416122,0.12583916722675026,0.13526244919468824,160
Q01,Rest,column_unseen_40_descriptive,0.75,0.10845747730735837,0.11028868327593253,,0
Q01,Stim8hr,all_200,0.86499999999999999,0.12086806308448246,0.12511722945649933,0.13348525547671145,160
Q01,Stim8hr,seen_160,0.88124999999999998,0.12246474168873026,0.12702963692200134,0.13348525547671145,160
Q01,Stim8hr,column_unseen_40_descriptive,0.80000000000000004,0.11448134866749124,0.11746759959449138,,0
Q01,Stim48hr,all_200,0.76000000000000001,0.11835854866940668,0.12075404336930351,0.13118503890384187,160
Q01,Stim48hr,seen_160,0.76875000000000004,0.12121137296610489,0.12384681206618013,0.13118503890384187,160
Q01,Stim48hr,column_unseen_40_descriptive,0.72499999999999998,0.10694725148261371,0.10838296858179694,,0
Q02,Rest,all_200,0.76000000000000001,0.12772749915174486,0.13025169406299519,0.13787780067718508,160
Q02,Rest,seen_160,0.76249999999999996,0.12619954972385328,0.12876453915691083,0.13787780067718508,160
Q02,Rest,column_unseen_40_descriptive,0.75,0.13383929686331117,0.1362003136873326,,0
Q02,Stim8hr,all_200,0.91500000000000004,0.12406007793731084,0.12886168325402875,0.13285774825943383,160
Q02,Stim8hr,seen_160,0.90000000000000002,0.12460347689915763,0.12948227221804851,0.13285774825943383,160
Q02,Stim8hr,column_unseen_40_descriptive,0.97499999999999998,0.12188648208992378,0.12637932739794969,,0
Q02,Stim48hr,all_200,0.73999999999999999,0.1261073776224052,0.12885669775950859,0.13610627056649802,160
Q02,Stim48hr,seen_160,0.73124999999999996,0.1272452924262254,0.13005587444470529,0.13610627056649802,160
Q02,Stim48hr,column_unseen_40_descriptive,0.77500000000000002,0.12155571840712445,0.12405999101872185,,0
Q03,Rest,all_200,0.73499999999999999,0.11399433669218105,0.11627585498487054,0.13280578118235231,160
Q03,Rest,seen_160,0.70625000000000004,0.11692299130050618,0.11925428612590219,0.13280578118235231,160
Q03,Rest,column_unseen_40_descriptive,0.84999999999999998,0.10227971825888056,0.10436213042074396,,0
Q03,Stim8hr,all_200,0.86499999999999999,0.12599543192244184,0.13094567522535686,0.13976594468823317,160
Q03,Stim8hr,seen_160,0.875,0.12677333499836438,0.13196317852995559,0.13976594468823317,160
Q03,Stim8hr,column_unseen_40_descriptive,0.82499999999999996,0.12288381961875165,0.12687566200696204,,0
Q03,Stim48hr,all_200,0.79000000000000004,0.11966003781441714,0.12271369326869948,0.12917766210650666,160
Q03,Stim48hr,seen_160,0.78749999999999998,0.11763574821776954,0.12086166139395163,0.12917766210650666,160
Q03,Stim48hr,column_unseen_40_descriptive,0.80000000000000004,0.12775719620100742,0.13012182076769099,,0
Q04,Rest,all_200,0.78000000000000003,0.12205829178244695,0.12541947358114264,0.13836147158179177,160
Q04,Rest,seen_160,0.81874999999999998,0.12455968910257427,0.12827511664664204,0.13836147158179177,160
Q04,Rest,column_unseen_40_descriptive,0.625,0.11205270250193769,0.113996901319145,,0
Q04,Stim8hr,all_200,0.88500000000000001,0.12557509650920223,0.13133762047104161,0.13638899843758207,160
Q04,Stim8hr,seen_160,0.88749999999999996,0.12607326831100882,0.13223562459940119,0.13638899843758207,160
Q04,Stim8hr,column_unseen_40_descriptive,0.875,0.12358240930197591,0.12774560395760329,,0
Q04,Stim48hr,all_200,0.78500000000000003,0.1229139851146453,0.12594277747099952,0.13551117467802903,160
Q04,Stim48hr,seen_160,0.79374999999999996,0.1233025064789087,0.12668235538874692,0.13551117467802903,160
Q04,Stim48hr,column_unseen_40_descriptive,0.75,0.12135989965759175,0.12298446580000991,,0
