panel_id,culture_condition,stratum,spearman_safeconf_vs_error,top20_high_risk_error_mean,population_error_mean,top20_error_enrichment
Q01,Rest,all_200,-0.013327833195829896,0.1119509083431343,0.12008349743280065,0.93227554773529653
Q01,Rest,seen_160,0.10641919606234619,0.1165675582687889,0.12299000246416122,0.94778076212134554
Q01,Rest,column_unseen_40_descriptive,0.020075046904315202,0.089640139817857345,0.10845747730735837,0.82650032107814519
Q01,Stim8hr,all_200,0.022899572489312233,0.11757415804432028,0.12086806308448246,0.97274792897227236
Q01,Stim8hr,seen_160,0.12709480839095275,0.12177589849852535,0.12246474168873026,0.99437517132926523
Q01,Stim8hr,column_unseen_40_descriptive,0.022701688555347096,0.10452570569136294,0.11448134866749124,0.9130369873170846
Q01,Stim48hr,all_200,0.076662416560414018,0.11189812873368528,0.11835854866940668,0.94541653299782913
Q01,Stim48hr,seen_160,0.15735380288292511,0.1164952535643331,0.12121137296610489,0.96109177475375529
Q01,Stim48hr,column_unseen_40_descriptive,0.032457786116322711,0.10427136021363356,0.10694725148261371,0.97497933577643026
Q02,Rest,all_200,0.16573164329108231,0.14883412535272028,0.12772749915174486,1.1652473143304871
Q02,Rest,seen_160,0.15100492206726826,0.14605276602918346,0.12619954972385328,1.1573160629239367
Q02,Rest,column_unseen_40_descriptive,0.015196998123827393,0.12576502580761711,0.13383929686331117,0.93967189573671894
Q02,Stim8hr,all_200,0.13384534613365337,0.13003614214675366,0.12406007793731084,1.0481707275120575
Q02,Stim8hr,seen_160,0.19326438532755189,0.13752830329278359,0.12460347689915763,1.103727654438456
Q02,Stim8hr,column_unseen_40_descriptive,-0.16285178236397752,0.10879042457147838,0.12188648208992378,0.89255529166242098
Q02,Stim48hr,all_200,0.18658066451661295,0.1493184056673888,0.1261073776224052,1.1840576537439611
Q02,Stim48hr,seen_160,0.23888433141919602,0.16585248251313317,0.1272452924262254,1.3034076102209562
Q02,Stim48hr,column_unseen_40_descriptive,0.041838649155722329,0.11171956686032035,0.12155571840712445,0.91908112859108737
Q03,Rest,all_200,0.001518037950948774,0.11483395495613724,0.11399433669218105,1.0073654383921142
Q03,Rest,seen_160,0.058452478612445798,0.12986210657838179,0.11692299130050618,1.1106635669679414
Q03,Rest,column_unseen_40_descriptive,-0.093433395872420277,0.091175335033204796,0.10227971825888056,0.89143122982046719
Q03,Stim8hr,all_200,-0.019281489267791527,0.13368503319107991,0.12599543192244184,1.0610307941431678
Q03,Stim8hr,seen_160,0.016141755641158998,0.14668399123224174,0.12677333499836438,1.1570571306192603
Q03,Stim8hr,column_unseen_40_descriptive,-0.12889305816135085,0.10986247854461684,0.12288381961875165,0.89403534888048186
Q03,Stim48hr,all_200,0.044003600090002259,0.13397469663587638,0.11966003781441714,1.1196277310530363
Q03,Stim48hr,seen_160,0.054051916090472288,0.1294128242702631,0.11763574821776954,1.1001147714952397
Q03,Stim48hr,column_unseen_40_descriptive,-0.021013133208255163,0.098119341022508064,0.12775719620100742,0.76801420147113675
Q04,Rest,all_200,0.05925898147453687,0.11508650273023627,0.12205829178244695,0.94288147941118994
Q04,Rest,seen_160,0.13848587835462323,0.1331088265387852,0.12455968910257427,1.0686348649214334
Q04,Rest,column_unseen_40_descriptive,-0.31463414634146347,0.11306456827654206,0.11205270250193769,1.0090302665800217
Q04,Stim8hr,all_200,-0.00795319882997075,0.11889569933548567,0.12557509650920223,0.94680953979416538
Q04,Stim8hr,seen_160,0.020130669166764325,0.14115856343038755,0.12607326831100882,1.1196549857196132
Q04,Stim8hr,column_unseen_40_descriptive,-0.37636022514071299,0.11618405898563211,0.12358240930197591,0.94013427672974237
Q04,Stim48hr,all_200,0.10619665491637292,0.12132460512434498,0.1229139851146453,0.98706916882714479
Q04,Stim48hr,seen_160,0.18163600140630493,0.14129799167869239,0.1233025064789087,1.1459458182454862
Q04,Stim48hr,column_unseen_40_descriptive,-0.38761726078799258,0.1060836907661558,0.12135989965759175,0.87412474025986608
